Index,ICD-10 Code,Top10,DiagnosisEntity,CCSR Category,Diagnosis,Notes
13,A5430,Gonococcal infection of eye,CODE EXCLUDED,EYE004,"Gonococcal infection of eye, unspecified                ","Very low numbers (< 10), and incomplete TS data of A54.3%"
14,A5431,Gonococcal infection of eye,conjunctivitis - infectious,EYE001,Gonococcal conjunctivitis                   ,"Very low numbers (< 10), and incomplete TS data of A54.3%"
15,A5432,Gonococcal infection of eye,secondary uveitis - infectious,EYE004,Gonococcal iridocyclitis                   ,"Very low numbers (< 10), and incomplete TS data of A54.3%"
16,A5433,Gonococcal infection of eye,keratitis - infectious,EYE001,Gonococcal keratitis                   ,"Very low numbers (< 10), and incomplete TS data of A54.3%"
17,A5439,Gonococcal infection of eye,CODE EXCLUDED,EYE004,Other gonococcal eye infection                 ,"Very low numbers (< 10), and incomplete TS data of A54.3%"
18,A710,Trachoma,trachoma,EYE004,Initial stage of trachoma                 ,"Very low numbers (< 20),  but complete TS data of A71.%"
19,A711,Trachoma,trachoma,EYE004,Active stage of trachoma                 ,"Very low numbers (< 20),  but complete TS data of A71.%"
20,A719,Trachoma,trachoma,EYE004,"Trachoma, unspecified                   ","Very low numbers (< 20),  but complete TS data of A71.%"
21,A740,Chlamydial oculopathy              ,conjunctivitis - infectious,EYE001,Chlamydial conjunctivitis                   ,"Low numbers (< 50), but complete TS data of A74.0%"
22,B0050,Herpesviral ocular disease,herpesviral ocular disease,EYE004,"Herpesviral ocular disease, unspecified                 ",
23,B0051,Herpesviral ocular disease,secondary uveitis - infectious,EYE004,Herpesviral iridocyclitis,
24,B0052,Herpesviral ocular disease,keratitis - infectious,EYE001,Herpesviral keratitis,
25,B0053,Herpesviral ocular disease,conjunctivitis - infectious,EYE001,Herpesviral conjunctivitis,
26,B0059,Herpesviral ocular disease,herpesviral ocular disease - other,EYE012,Other herpesviral disease of the eye,
27,B0230,Zoster ocular disease,zoster ocular disease,EYE004,"Zoster ocular disease, unspecified                 ",
28,B0231,Zoster ocular disease,conjunctivitis - infectious,EYE001,Zoster conjunctivitis                   ,
29,B0232,Zoster ocular disease,secondary uveitis - infectious,EYE004,Zoster iridocyclitis                   ,
30,B0233,Zoster ocular disease,keratitis - infectious,EYE001,Zoster keratitis                   ,
31,B0234,Zoster ocular disease,scleritis - infectious,EYE001,Zoster scleritis                   ,"Low numbers (< 100), but complete TS data of B02.34%"
32,B0239,Zoster ocular disease,zoster ocular disease,EYE004,Other herpes zoster eye disease                ,Why not categorize under EYE012? Large numbers (>4500)
33,B0581,Keratoconjunctivitis,CODE EXCLUDED,EYE001,Measles keratitis and keratoconjunctivitis                 ,"Very low numbers (< 5), and incomplete TS data of B05.81%"
34,B300,Keratoconjunctivitis,keratoconjunctivitis - infectious,EYE001,Keratoconjunctivitis due to adenovirus                 ,
35,B301,Conjunctivitis,conjunctivitis - infectious,EYE001,Conjunctivitis due to adenovirus                 ,
36,B302,Conjunctivitis,conjunctivitis - infectious,EYE001,Viral pharyngoconjunctivitis                   ,
37,B303,Conjunctivitis,conjunctivitis - infectious,EYE001,Acute epidemic hemorrhagic conjunctivitis (enteroviral)                ,
38,B308,Conjunctivitis,conjunctivitis - infectious,EYE001,Other viral conjunctivitis                  ,
39,B309,Conjunctivitis,conjunctivitis - infectious,EYE001,"Viral conjunctivitis, unspecified                  ",
40,B5800,Toxoplasma oculopathy,toxoplasma oculopathy,EYE004,"Toxoplasma oculopathy, unspecified                  ",
41,B5801,Toxoplasma oculopathy,toxoplasma oculopathy,EYE004,Toxoplasma chorioretinitis                   ,
42,B5809,Toxoplasma oculopathy,toxoplasma oculopathy,EYE004,Other toxoplasma oculopathy                  ,"Very low numbers (< 50), and incomplete TS data of B58.09%"
43,B6012,Conjunctivitis,conjunctivitis - infectious,EYE001,Conjunctivitis due to Acanthamoeba                 ,
44,B6013,Keratoconjunctivitis,keratoconjunctivitis - infectious,EYE001,Keratoconjunctivitis due to Acanthamoeba                 ,
45,B940,Trachoma,trachoma,EYE004,Sequelae of trachona,"Low numbers (< 20), but complete TS data of B94.0%"
46,C4310,Malignant neoplasm of eye and adnexa,malignant neoplasm - eyelid,EYE008,"Malignant melanoma of unspecified eyelid, including canthus              ",
47,C4311,Malignant neoplasm of eye and adnexa,malignant neoplasm - eyelid,EYE008,"Malignant melanoma of right eyelid, including canthus              ",
48,C4312,Malignant neoplasm of eye and adnexa,malignant neoplasm - eyelid,EYE008,"Malignant melanoma of left eyelid, including canthus              ",
49,C44101,Malignant neoplasm of eye and adnexa,malignant neoplasm - eyelid,EYE008,"Unspecified malignant neoplasm of skin of unspecified eyelid, including canthus           ",
50,C44102,Malignant neoplasm of eye and adnexa,malignant neoplasm - eyelid,EYE008,"Unspecified malignant neoplasm of skin of right eyelid, including canthus           ",
51,C44109,Malignant neoplasm of eye and adnexa,malignant neoplasm - eyelid,EYE008,"Unspecified malignant neoplasm of skin of left eyelid, including canthus           ",
52,C44111,Malignant neoplasm of eye and adnexa,malignant neoplasm - eyelid,EYE008,"Basal cell carcinoma of skin of unspecified eyelid, including canthus           ",
53,C44112,Malignant neoplasm of eye and adnexa,malignant neoplasm - eyelid,EYE008,"Basal cell carcinoma of skin of right eyelid, including canthus           ",
54,C44119,Malignant neoplasm of eye and adnexa,malignant neoplasm - eyelid,EYE008,"Basal cell carcinoma of skin of left eyelid, including canthus           ",
55,C44121,Malignant neoplasm of eye and adnexa,malignant neoplasm - eyelid,EYE008,"Squamous cell carcinoma of skin of unspecified eyelid, including canthus           ",
56,C44122,Malignant neoplasm of eye and adnexa,malignant neoplasm - eyelid,EYE008,"Squamous cell carcinoma of skin of right eyelid, including canthus           ",
57,C44129,Malignant neoplasm of eye and adnexa,malignant neoplasm - eyelid,EYE008,"Squamous cell carcinoma of skin of left eyelid, including canthus           ",
58,C44191,Malignant neoplasm of eye and adnexa,malignant neoplasm - eyelid,EYE008,"Other specified malignant neoplasm of skin of unspecified eyelid, including canthus          ",
59,C44192,Malignant neoplasm of eye and adnexa,malignant neoplasm - eyelid,EYE008,"Other specified malignant neoplasm of skin of right eyelid, including canthus          ",
60,C44199,Malignant neoplasm of eye and adnexa,malignant neoplasm - eyelid,EYE008,"Other specified malignant neoplasm of skin of left eyelid, including canthus          ",
61,C6900,Malignant neoplasm of eye and adnexa,malignant neoplasm - conjunctiva,EYE001,Malignant neoplasm of unspecified conjunctiva                ,
62,C6901,Malignant neoplasm of eye and adnexa,malignant neoplasm - conjunctiva,EYE001,Malignant neoplasm of right conjunctiva                ,
63,C6902,Malignant neoplasm of eye and adnexa,malignant neoplasm - conjunctiva,EYE001,Malignant neoplasm of left conjunctiva                ,
64,C6910,Malignant neoplasm of eye and adnexa,malignant neoplasm - cornea,EYE001,Malignant neoplasm of unspecified cornea                ,
65,C6911,Malignant neoplasm of eye and adnexa,malignant neoplasm - cornea,EYE001,Malignant neoplasm of right cornea                ,
66,C6912,Malignant neoplasm of eye and adnexa,malignant neoplasm - cornea,EYE001,Malignant neoplasm of left cornea                ,
67,C6920,Malignant neoplasm of eye and adnexa,malignant neoplasm - retina,EYE005,Malignant neoplasm of unspecified retina                ,
68,C6921,Malignant neoplasm of eye and adnexa,malignant neoplasm - retina,EYE005,Malignant neoplasm of right retina                ,
69,C6922,Malignant neoplasm of eye and adnexa,malignant neoplasm - retina,EYE005,Malignant neoplasm of left retina                ,
70,C6930,Malignant neoplasm of eye and adnexa,malignant neoplasm - choroid,EYE012,Malignant neoplasm of unspecified choroid                ,
71,C6931,Malignant neoplasm of eye and adnexa,malignant neoplasm - choroid,EYE012,Malignant neoplasm of right choroid                ,
72,C6932,Malignant neoplasm of eye and adnexa,malignant neoplasm - choroid,EYE012,Malignant neoplasm of left choroid                ,
73,C6940,Malignant neoplasm of eye and adnexa,malignant neoplasm - ciliary body ,EYE012,Malignant neoplasm of unspecified ciliary body               ,
74,C6941,Malignant neoplasm of eye and adnexa,malignant neoplasm - ciliary body ,EYE012,Malignant neoplasm of right ciliary body               ,
75,C6942,Malignant neoplasm of eye and adnexa,malignant neoplasm - ciliary body ,EYE012,Malignant neoplasm of left ciliary body               ,
76,C6950,Malignant neoplasm of eye and adnexa,malignant neoplasm - lacrimal,EYE008,Malignant neoplasm of unspecified lacrimal gland and duct             ,"Low numbers (< 50), but complete TS data of C69.5%"
77,C6951,Malignant neoplasm of eye and adnexa,malignant neoplasm - lacrimal,EYE008,Malignant neoplasm of right lacrimal gland and duct             ,"Low numbers (< 50), but complete TS data of C69.5%"
78,C6952,Malignant neoplasm of eye and adnexa,malignant neoplasm - lacrimal,EYE008,Malignant neoplasm of left lacrimal gland and duct             ,"Low numbers (< 50), but complete TS data of C69.5%"
79,C6960,Malignant neoplasm of eye and adnexa,malignant neoplasm - orbit,EYE008,Malignant neoplasm of unspecified orbit                ,
80,C6961,Malignant neoplasm of eye and adnexa,malignant neoplasm - orbit,EYE008,Malignant neoplasm of right orbit                ,
81,C6962,Malignant neoplasm of eye and adnexa,malignant neoplasm - orbit,EYE008,Malignant neoplasm of left orbit                ,
82,C6980,Malignant neoplasm of eye and adnexa,malignant neoplasm - other/unspec,EYE008,Malignant neoplasm of overlapping sites of unspecified eye and adnexa           ,"Low numbers (< 100), but complete TS data of C69.8%"
83,C6981,Malignant neoplasm of eye and adnexa,malignant neoplasm - other/unspec,EYE008,Malignant neoplasm of overlapping sites of right eye and adnexa           ,"Low numbers (< 100), but complete TS data of C69.8%"
84,C6982,Malignant neoplasm of eye and adnexa,malignant neoplasm - other/unspec,EYE008,Malignant neoplasm of overlapping sites of left eye and adnexa           ,"Low numbers (< 100), but complete TS data of C69.8%"
85,C6990,Malignant neoplasm of eye and adnexa,malignant neoplasm - other/unspec,EYE008,Malignant neoplasm of unspecified site of unspecified eye             ,"Low numbers (< 100), but complete TS data of C69.9%"
86,C6991,Malignant neoplasm of eye and adnexa,malignant neoplasm - other/unspec,EYE008,Malignant neoplasm of unspecified site of right eye             ,"Low numbers (< 100), but complete TS data of C69.9%"
87,C6992,Malignant neoplasm of eye and adnexa,malignant neoplasm - other/unspec,EYE008,Malignant neoplasm of unspecified site of left eye             ,"Low numbers (< 100), but complete TS data of C69.9%"
88,D0310,Malignant neoplasm of eye and adnexa,melanoma in situ - eyelid,EYE008,"Melanoma in situ of unspecified eyelid, including canthus             ","Low numbers (< 50), but complete TS data of D03.1%"
89,D0311,Malignant neoplasm of eye and adnexa,melanoma in situ - eyelid,EYE008,"Melanoma in situ of right eyelid, including canthus             ","Low numbers (< 50), but complete TS data of D03.1%"
90,D0312,Malignant neoplasm of eye and adnexa,melanoma in situ - eyelid,EYE008,"Melanoma in situ of left eyelid, including canthus             ","Low numbers (< 50), but complete TS data of D03.1%"
91,D0410,Malignant neoplasm of eye and adnexa,carcinoma in situ - eyelid,EYE008,"Carcinoma in situ of skin of unspecified eyelid, including canthus           ","Low numbers (< 100), but complete TS data of D04.1%"
92,D0411,Malignant neoplasm of eye and adnexa,carcinoma in situ - eyelid,EYE008,"Carcinoma in situ of skin of right eyelid, including canthus           ","Low numbers (< 100), but complete TS data of D04.1%"
93,D0412,Malignant neoplasm of eye and adnexa,carcinoma in situ - eyelid,EYE008,"Carcinoma in situ of skin of left eyelid, including canthus           ","Low numbers (< 100), but complete TS data of D04.1%"
94,D0920,Malignant neoplasm of eye and adnexa,carcinoma in situ - eye,EYE008,Carcinoma in situ of unspecified eye               ,
95,D0921,Malignant neoplasm of eye and adnexa,carcinoma in situ - eye,EYE008,Carcinoma in situ of right eye               ,
96,D0922,Malignant neoplasm of eye and adnexa,carcinoma in situ - eye,EYE008,Carcinoma in situ of left eye               ,
97,D2210,Benign neoplasm of eye and adnexa,benign neoplasm - eyelid,EYE008,"Melanocytic nevi of unspecified eyelid, including canthus              ",
98,D2211,Benign neoplasm of eye and adnexa,benign neoplasm - eyelid,EYE008,"Melanocytic nevi of right eyelid, including canthus              ",
99,D2212,Benign neoplasm of eye and adnexa,benign neoplasm - eyelid,EYE008,"Melanocytic nevi of left eyelid, including canthus              ",
100,D2310,Benign neoplasm of eye and adnexa,benign neoplasm - eyelid,EYE008,"Other benign neoplasm of skin of unspecified eyelid, including canthus           ",
101,D2311,Benign neoplasm of eye and adnexa,benign neoplasm - eyelid,EYE008,"Other benign neoplasm of skin of right eyelid, including canthus           ",
102,D2312,Benign neoplasm of eye and adnexa,benign neoplasm - eyelid,EYE008,"Other benign neoplasm of skin of left eyelid, including canthus           ",
103,D3100,Benign neoplasm of eye and adnexa,benign neoplasm - conjunctiva,EYE001,Benign neoplasm of unspecified conjunctiva                ,
104,D3101,Benign neoplasm of eye and adnexa,benign neoplasm - conjunctiva,EYE001,Benign neoplasm of right conjunctiva                ,
105,D3102,Benign neoplasm of eye and adnexa,benign neoplasm - conjunctiva,EYE001,Benign neoplasm of left conjunctiva                ,
106,D3110,Benign neoplasm of eye and adnexa,benign neoplasm - cornea,EYE001,Benign neoplasm of unspecified cornea                ,
107,D3111,Benign neoplasm of eye and adnexa,benign neoplasm - cornea,EYE001,Benign neoplasm of right cornea                ,
108,D3112,Benign neoplasm of eye and adnexa,benign neoplasm - cornea,EYE001,Benign neoplasm of left cornea                ,
109,D3120,Benign neoplasm of eye and adnexa,benign neoplasm - retina,EYE005,Benign neoplasm of unspecified retina                ,
110,D3121,Benign neoplasm of eye and adnexa,benign neoplasm - retina,EYE005,Benign neoplasm of right retina                ,
111,D3122,Benign neoplasm of eye and adnexa,benign neoplasm - retina,EYE005,Benign neoplasm of left retina                ,
112,D3130,Benign neoplasm of eye and adnexa,benign neoplasm - choroid,EYE012,Benign neoplasm of unspecified choroid                ,
113,D3131,Benign neoplasm of eye and adnexa,benign neoplasm - choroid,EYE012,Benign neoplasm of right choroid                ,
114,D3132,Benign neoplasm of eye and adnexa,benign neoplasm - choroid,EYE012,Benign neoplasm of left choroid                ,
115,D3140,Benign neoplasm of eye and adnexa,benign neoplasm - ciliary body,EYE012,Benign neoplasm of unspecified ciliary body               ,
116,D3141,Benign neoplasm of eye and adnexa,benign neoplasm - ciliary body,EYE012,Benign neoplasm of right ciliary body               ,
117,D3142,Benign neoplasm of eye and adnexa,benign neoplasm - ciliary body,EYE012,Benign neoplasm of left ciliary body               ,
118,D3150,Benign neoplasm of eye and adnexa,benign neoplasm - lacrimal,EYE008,Benign neoplasm of unspecified lacrimal gland and duct             ,
119,D3151,Benign neoplasm of eye and adnexa,benign neoplasm - lacrimal,EYE008,Benign neoplasm of right lacrimal gland and duct             ,
120,D3152,Benign neoplasm of eye and adnexa,benign neoplasm - lacrimal,EYE008,Benign neoplasm of left lacrimal gland and duct             ,
121,D3160,Benign neoplasm of eye and adnexa,benign neoplasm - orbit,EYE008,Benign neoplasm of unspecified site of unspecified orbit             ,
122,D3161,Benign neoplasm of eye and adnexa,benign neoplasm - orbit,EYE008,Benign neoplasm of unspecified site of right orbit             ,
123,D3162,Benign neoplasm of eye and adnexa,benign neoplasm - orbit,EYE008,Benign neoplasm of unspecified site of left orbit             ,
124,D3190,Benign neoplasm of eye and adnexa,benign neoplasm - unspec,EYE008,Benign neoplasm of unspecified part of unspecified eye             ,
125,D3191,Benign neoplasm of eye and adnexa,benign neoplasm - unspec,EYE008,Benign neoplasm of unspecified part of right eye             ,
126,D3192,Benign neoplasm of eye and adnexa,benign neoplasm - unspec,EYE008,Benign neoplasm of unspecified part of left eye             ,
127,E08311,Diabetic retinopathy,unspec DR w/ DME,EYE005,Diabetes mellitus due to underlying condition with unspecified diabetic retinopathy with macular  edema       ,
128,E08319,Diabetic retinopathy,unspec DR w/o DME,EYE005,Diabetes mellitus due to underlying condition with unspecified diabetic retinopathy without macular  edema       ,
129,E083211,Diabetic retinopathy,non-severe NPDR w/ DME,EYE005,"Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy with  macular edema, right eye    ",
130,E083212,Diabetic retinopathy,non-severe NPDR w/ DME,EYE005,"Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy with  macular edema, left eye    ",
131,E083213,Diabetic retinopathy,non-severe NPDR w/ DME,EYE005,"Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy with  macular edema, bilateral     ",
132,E083219,Diabetic retinopathy,non-severe NPDR w/ DME,EYE005,"Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy with  macular edema, unspecified eye    ",
133,E083291,Diabetic retinopathy,non-severe NPDR w/o DME,EYE005,"Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy without  macular edema, right eye    ",
134,E083292,Diabetic retinopathy,non-severe NPDR w/o DME,EYE005,"Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy without  macular edema, left eye    ",
135,E083293,Diabetic retinopathy,non-severe NPDR w/o DME,EYE005,"Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy without  macular edema, bilateral     ",
136,E083299,Diabetic retinopathy,non-severe NPDR w/o DME,EYE005,"Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy without  macular edema, unspecified eye    ",
137,E083311,Diabetic retinopathy,non-severe NPDR w/ DME,EYE005,"Diabetes mellitus due to underlying condition with moderate nonproliferative diabetic retinopathy with  macular edema, right eye    ",
138,E083312,Diabetic retinopathy,non-severe NPDR w/ DME,EYE005,"Diabetes mellitus due to underlying condition with moderate nonproliferative diabetic retinopathy with  macular edema, left eye    ",
139,E083313,Diabetic retinopathy,non-severe NPDR w/ DME,EYE005,"Diabetes mellitus due to underlying condition with moderate nonproliferative diabetic retinopathy with  macular edema, bilateral     ",
140,E083319,Diabetic retinopathy,non-severe NPDR w/ DME,EYE005,"Diabetes mellitus due to underlying condition with moderate nonproliferative diabetic retinopathy with  macular edema, unspecified eye    ",
141,E083391,Diabetic retinopathy,non-severe NPDR w/o DME,EYE005,"Diabetes mellitus due to underlying condition with moderate nonproliferative diabetic retinopathy without  macular edema, right eye    ",
142,E083392,Diabetic retinopathy,non-severe NPDR w/o DME,EYE005,"Diabetes mellitus due to underlying condition with moderate nonproliferative diabetic retinopathy without  macular edema, left eye    ",
143,E083393,Diabetic retinopathy,non-severe NPDR w/o DME,EYE005,"Diabetes mellitus due to underlying condition with moderate nonproliferative diabetic retinopathy without  macular edema, bilateral     ",
144,E083399,Diabetic retinopathy,non-severe NPDR w/o DME,EYE005,"Diabetes mellitus due to underlying condition with moderate nonproliferative diabetic retinopathy without  macular edema, unspecified eye    ",
145,E083411,Diabetic retinopathy,severe NPDR w/ DME,EYE005,"Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy with  macular edema, right eye    ",
146,E083412,Diabetic retinopathy,severe NPDR w/ DME,EYE005,"Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy with  macular edema, left eye    ",
147,E083413,Diabetic retinopathy,severe NPDR w/ DME,EYE005,"Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy with  macular edema, bilateral     ",
148,E083419,Diabetic retinopathy,severe NPDR w/ DME,EYE005,"Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy with  macular edema, unspecified eye    ",
149,E083491,Diabetic retinopathy,severe NPDR w/o DME,EYE005,"Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy without  macular edema, right eye    ",
150,E083492,Diabetic retinopathy,severe NPDR w/o DME,EYE005,"Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy without  macular edema, left eye    ",
151,E083493,Diabetic retinopathy,severe NPDR w/o DME,EYE005,"Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy without  macular edema, bilateral     ",
152,E083499,Diabetic retinopathy,severe NPDR w/o DME,EYE005,"Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy without  macular edema, unspecified eye    ",
153,E083511,Diabetic retinopathy,PDR w/ DME,EYE005,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with macular  edema, right eye     ",
154,E083512,Diabetic retinopathy,PDR w/ DME,EYE005,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with macular  edema, left eye     ",
155,E083513,Diabetic retinopathy,PDR w/ DME,EYE005,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with macular  edema, bilateral      ",
156,E083519,Diabetic retinopathy,PDR w/ DME,EYE005,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with macular  edema, unspecified eye     ",
157,E083521,Diabetic retinopathy,PDR w/ DME,EYE005,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction  retinal detachment involving the macula, right  eye",
158,E083522,Diabetic retinopathy,PDR w/ DME,EYE005,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction  retinal detachment involving the macula, left  eye",
159,E083523,Diabetic retinopathy,PDR w/ DME,EYE005,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction  retinal detachment involving the macula, bilateral  ",
160,E083529,Diabetic retinopathy,PDR w/ DME,EYE005,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction  retinal detachment involving the macula, unspecified  eye",
161,E083531,Diabetic retinopathy,PDR w/ DME,EYE005,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction  retinal detachment not involving the macula,  right",
162,E083532,Diabetic retinopathy,PDR w/ DME,EYE005,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction  retinal detachment not involving the macula,  left",
163,E083533,Diabetic retinopathy,PDR w/ DME,EYE005,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction  retinal detachment not involving the macula,  bilateral",
164,E083539,Diabetic retinopathy,PDR w/ DME,EYE005,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction  retinal detachment not involving the macula,  unspecified",
165,E083541,Diabetic retinopathy,PDR w/ DME,EYE005,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with combined  traction retinal detachment and rhegmatogenous retinal  detachment,",
166,E083542,Diabetic retinopathy,PDR w/ DME,EYE005,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with combined  traction retinal detachment and rhegmatogenous retinal  detachment,",
167,E083543,Diabetic retinopathy,PDR w/ DME,EYE005,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with combined  traction retinal detachment and rhegmatogenous retinal  detachment,",
168,E083549,Diabetic retinopathy,PDR w/ DME,EYE005,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with combined  traction retinal detachment and rhegmatogenous retinal  detachment,",
169,E083551,Diabetic retinopathy,"PDR, stable",EYE005,"Diabetes mellitus due to underlying condition with stable proliferative diabetic retinopathy, right  eye       ",
170,E083552,Diabetic retinopathy,"PDR, stable",EYE005,"Diabetes mellitus due to underlying condition with stable proliferative diabetic retinopathy, left  eye       ",
171,E083553,Diabetic retinopathy,"PDR, stable",EYE005,"Diabetes mellitus due to underlying condition with stable proliferative diabetic retinopathy, bilateral         ",
172,E083559,Diabetic retinopathy,"PDR, stable",EYE005,"Diabetes mellitus due to underlying condition with stable proliferative diabetic retinopathy, unspecified  eye       ",
173,E083591,Diabetic retinopathy,PDR w/o DME,EYE005,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy without macular  edema, right eye     ",
174,E083592,Diabetic retinopathy,PDR w/o DME,EYE005,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy without macular  edema, left eye     ",
175,E083593,Diabetic retinopathy,PDR w/o DME,EYE005,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy without macular  edema, bilateral      ",
176,E083599,Diabetic retinopathy,PDR w/o DME,EYE005,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy without macular  edema, unspecified eye     ",
177,E0836,Diabetic retinopathy,diabetic cataract,EYE002,Diabetes mellitus due to underlying condition with diabetic cataract            ,Seeing a dramatic drop starting from late 2017-2018
178,E0837X1,Diabetic retinopathy,DME resolved after tx,EYE005,"Diabetes mellitus due to underlying condition with diabetic macular edema, resolved following  treatment, right eye     ","Low numbers (< 20), but complete TS data of E08.37X%"
179,E0837X2,Diabetic retinopathy,DME resolved after tx,EYE005,"Diabetes mellitus due to underlying condition with diabetic macular edema, resolved following  treatment, left eye     ","Low numbers (< 20), but complete TS data of E08.37X%"
180,E0837X3,Diabetic retinopathy,DME resolved after tx,EYE005,"Diabetes mellitus due to underlying condition with diabetic macular edema, resolved following  treatment, bilateral      ","Low numbers (< 20), but complete TS data of E08.37X%"
181,E0837X9,Diabetic retinopathy,DME resolved after tx,EYE005,"Diabetes mellitus due to underlying condition with diabetic macular edema, resolved following  treatment, unspecified eye     ","Low numbers (< 20), but complete TS data of E08.37X%"
182,E0839,Diabetic retinopathy,other diabetic ophthalmic compl,EYE005,Diabetes mellitus due to underlying condition with other diabetic ophthalmic complication          ,"Low numbers (< 50), but complete TS data of E08.39%"
183,E09311,Diabetic retinopathy,unspec DR w/ DME,EYE005,Drug or chemical induced diabetes mellitus with unspecified diabetic retinopathy with macular  edema       ,
184,E09319,Diabetic retinopathy,unspec DR w/o DME,EYE005,Drug or chemical induced diabetes mellitus with unspecified diabetic retinopathy without macular  edema       ,
185,E093211,Diabetic retinopathy,NPDR w/ DME,EYE005,"Drug or chemical induced diabetes mellitus with mild nonproliferative diabetic retinopathy with  macular edema, right eye    ",
186,E093212,Diabetic retinopathy,NPDR w/ DME,EYE005,"Drug or chemical induced diabetes mellitus with mild nonproliferative diabetic retinopathy with  macular edema, left eye    ",
187,E093213,Diabetic retinopathy,NPDR w/ DME,EYE005,"Drug or chemical induced diabetes mellitus with mild nonproliferative diabetic retinopathy with  macular edema, bilateral     ",
188,E093219,Diabetic retinopathy,NPDR w/ DME,EYE005,"Drug or chemical induced diabetes mellitus with mild nonproliferative diabetic retinopathy with  macular edema, unspecified eye    ",
