"","2020-01-01","2020-02-01","2020-03-01","2020-04-01","2020-05-01","2020-06-01","2020-07-01","2020-08-01","2020-09-01","2020-10-01","2020-11-01","2020-12-01","2021-01-01","2021-02-01","2021-03-01","2021-04-01","2021-05-01","2021-06-01","2021-07-01","2021-08-01","2021-09-01","2021-10-01","2021-11-01","2021-12-01"
"anterior uveitis - acute, other/unspec",0.0107653195649213,0.010811026082394,-0.205857887456797,-0.495733803886015,-0.323623051012808,-0.124736424537037,-0.14889914745698,-0.180419537057141,-0.160648827848347,-0.187371192277389,-0.206136849559582,-0.111054953949133,-0.166091528162956,-0.12618100350871,-0.0733762233189861,-0.135990942020459,-0.243130976384249,-0.107010960143136,-0.097715727124967,-0.107053602998027,-0.142948232828993,-0.256429103954878,-0.217579152078224,-0.240604250985084
"anterior uveitis - acute, primary",-0.0493017455071432,0.0187493031858804,-0.246795744299233,-0.483484800180571,-0.263122469822675,-0.0478295139028902,-0.045918873341966,-0.151843265123297,-0.0764278900166889,-0.127157396385982,-0.155634064207474,-0.109519936307812,-0.139408638410697,-0.0589997145158137,0.0368528606545023,0.0162791790483209,-0.10238930173625,0.0187819836814483,-0.0119207464862394,-0.0427321117204104,-0.00923745438586766,-0.108653126126357,-0.0850634503343848,-0.141333879004139
"anterior uveitis - acute, recurrent",-0.0429743456361521,-0.0504310555877121,-0.281102531250169,-0.522490853500059,-0.256357176578606,-0.0479245868006987,-0.115153022747047,-0.191515327121827,-0.123995556023303,-0.162644165208425,-0.1554829210598,-0.0761118748346466,-0.132209332023305,-0.132420484086969,-0.0241278667961677,-0.0365157120893124,-0.0553953096146993,0.0497528489637906,-0.0490249079564046,-0.107795921889364,-0.0712323772390147,-0.126958289758507,-0.0549918963519368,-0.0836458095048816
"anterior uveitis - chronic",-0.000307584429274684,-0.0185659274192485,-0.295244902574626,-0.554210174049393,-0.256718627529509,-0.00126667292222409,-0.0532504750810571,-0.148746876836011,-0.0614072698331697,-0.102231835687417,-0.152095808877519,-0.118020697664836,-0.109846707697322,-0.0810021208666183,0.0489628380364586,0.0242578038583829,-0.0848458833842281,0.0409703837650145,-0.0180260815785823,-0.0347861058520983,0.0235165378795108,-0.083559302198189,-0.0734986746758597,-0.121312128312554
"anterior uveitis - other",-0.137134003826194,-0.147986525112692,-0.329666290252554,-0.579927691858139,-0.363692781458502,-0.114012866749012,-0.198817418707549,-0.175028157984534,0.0458116701568343,-0.0831938335942967,-0.0383176248298143,0.0472736387714799,-0.24906238340143,-0.225622734665276,-0.0698246960606897,-0.208433624683211,-0.16379567515322,0.00279730918750253,-0.178035360566827,-0.0423207231250915,0.217612283279542,0.00463600725223789,0.12677060510395,0.0811346828150644
"aphakia",0.00305421096661487,-0.0256359922679156,-0.348837670926669,-0.674780930940123,-0.362189029510748,-0.0330456213099312,-0.00950597246479778,-0.140059396107084,-0.0389211904590648,-0.12785819174555,-0.113123202908141,-0.0439598037185308,-0.0813196913726146,-0.0622587474725796,0.0528706136949946,-0.0145515781696708,-0.109746674375576,0.0753391680171061,0.0144884874609778,0.000936856770937934,0.0322396171545979,-0.0656748592781996,-0.00974994208819085,-0.0110594545926097
"astigmatism",-0.125417695331648,-0.035440489890242,-0.417754742509535,-0.913560223847364,-0.536961908932755,-0.119397192980833,-0.182037721189675,-0.218705305598019,-0.0870215534213622,-0.262123375576756,-0.201055923764703,-0.121789181861586,-0.306234657595693,-0.14844757288413,-0.0360612660215537,-0.242688774045043,-0.184781316897784,-0.0485087463745564,-0.266603703108923,-0.17651231559168,-0.113606756620129,-0.3519892374753,-0.159476193718486,-0.167173167074555
"background retinopathy, unspec",-0.175042701188777,-0.181114084179129,-0.479626089571002,-0.754221665146753,-0.523802059819787,-0.172885300010768,-0.146105978704517,-0.164912254992053,-0.0736066153448676,-0.277434529214325,-0.292637703510166,-0.237759478637142,-0.421389714124727,-0.388364629838624,-0.274987902792868,-0.45562633104472,-0.410900320612074,-0.23764767054876,-0.343752943051509,-0.200365431232115,-0.165961017319244,-0.364072080883069,-0.2605336161548,-0.300453622081661
"benign neoplasm - choroid",-0.000863359170357304,-0.0328581021851776,-0.383548426643056,-0.74702012669075,-0.477951023603808,-0.11091897615763,-0.0775075227575125,-0.195051767817765,-0.120205362125234,-0.210278790576689,-0.24060890897213,-0.159352465773456,-0.209617470609502,-0.207541484393764,-0.0859301194409486,-0.190498188567743,-0.268773381297315,-0.124564105169152,-0.14962227089427,-0.181825775986824,-0.158212516482382,-0.257366994264078,-0.213843152466769,-0.223420605919016
"benign neoplasm - ciliary body",-0.00674760925281849,-0.00410252086933947,-0.384959239684161,-0.792770160876942,-0.510057338623378,-0.116434916220982,-0.0836088565752009,-0.257848467523345,-0.0744176722433623,-0.1813658550288,-0.238239796284606,-0.0744431919076616,-0.0959273717945118,-0.147965860663184,-0.00719158074087077,-0.0619733547172741,-0.171226832164111,-0.0497685988100904,-0.125955301098054,-0.179279687357662,-0.135371702478151,-0.216110994552559,-0.214694687326603,-0.149558586012529
"benign neoplasm - conjunctiva",0.0350793451456609,0.0178118438702764,-0.394895960185854,-0.819054114085664,-0.532416618680092,-0.129279073264179,-0.0625419396514941,-0.200400101463301,-0.0653063503668092,-0.140084797553051,-0.159540632482373,-0.077563999825135,-0.086451248188161,-0.0979667971894191,0.00425498919425691,0.0307954730979478,-0.144206353292207,0.00623697110706617,-0.0287521033975515,-0.111555744307784,-0.056736784843254,-0.149481073665676,-0.13891341817576,-0.127174337790184
"benign neoplasm - eyelid",-0.0078541684490141,-0.0399235543609974,-0.411151928407419,-0.837956087475283,-0.557914584081731,-0.261575648121155,-0.238924695676292,-0.344785133315752,-0.299751249816808,-0.337132783007558,-0.340263628927733,-0.302025511924486,-0.311780891385421,-0.295586486430228,-0.188279044014458,-0.221526694041413,-0.315364959704653,-0.18475205617621,-0.231088681260103,-0.269163032957205,-0.277974234377587,-0.33476592952987,-0.269195729182185,-0.331493320716478
"benign neoplasm - orbit",-0.110294805953331,0.0259522549190865,-0.304164915804776,-0.763341672844864,-0.456367893485036,-0.185976352102586,-0.301501309873776,-0.239212500585201,-0.0184710608529078,-0.166600788403619,-0.0571889077935341,0.0638861145752954,-0.140973359825801,-0.0931494447601962,0.00328377998141601,-0.163277012287648,-0.0859218141579077,-0.0168632801353631,-0.176463876726984,-0.0387521380010299,0.221864351581382,-0.058465956390895,0.341550161821387,0.259023708969212
"benign neoplasm - unspec",-0.0176141728094557,-0.0330935641626333,-0.438981173961464,-0.809559860394999,-0.601292478286225,-0.177096512281836,-0.0898896138791941,-0.243894526748761,-0.136622115695628,-0.198579264073919,-0.200074152624785,-0.082470629711194,-0.181625658611107,-0.132651010666615,-0.0234834050299593,-0.13476168668802,-0.232378794555586,-0.077344095626175,-0.0743317418415846,-0.122926547650509,-0.111605126207404,-0.210571797944584,-0.139183184160233,-0.0991496116014208
"blebitis",0.128170352233786,-0.139853167956999,-0.332378838934232,-0.575782318136932,-0.32379404681559,-0.112119412761691,-0.101903544818347,-0.130776908099621,0.0874963354424967,0.203967787467633,-0.0218703607428539,-0.02446872517887,-0.00283270443591959,-0.204900226219339,-0.0619230992998329,-0.166890696315934,-0.291478995470599,-0.199526561736849,-0.156700908288606,-0.0714664117783633,0.0558254982971881,0.194662544822316,0.290569670749038,0.216086774270172
"blepharospasm",-0.0389378950401421,0.0106241870381921,-0.381146908282879,-0.742054030172224,-0.346271907631697,-0.0978633491618181,-0.195474100741918,-0.224782723789665,-0.158945392529851,-0.245662396666023,-0.226504086380474,-0.146638214296158,-0.251411440294536,-0.201540478601486,-0.059394913292624,-0.119293505374826,-0.169778109302101,-0.0485847197161373,-0.102130838413796,-0.150434423959502,-0.108197211200178,-0.239856426624296,-0.197863890876446,-0.220444127883575
"BRAO",-0.0354484269202933,-0.0220644608168993,-0.319695873143938,-0.597463175192497,-0.353145332138245,0.0130393528208899,-0.0742486496978378,-0.157636418133519,-0.0596556745713306,-0.155949098750464,-0.198846897985817,-0.0751083135677968,-0.174644941390649,-0.184812116605572,-0.0270847268649362,-0.0597730641892454,-0.163040267239655,-0.0290553609250629,-0.076272565277002,-0.123192160992118,-0.0681121687133421,-0.173929074453435,-0.107215741572717,-0.122547747026553
"BRVO",-0.0317315785003936,-0.0487435722413498,-0.287829373840378,-0.473866048990437,-0.319548988472388,-0.0998730109618288,-0.112544390531931,-0.208269108267832,-0.115006080590802,-0.18467191735866,-0.206213328017216,-0.108289367329918,-0.202024790600959,-0.192745136985929,-0.0831494220440422,-0.117626516736868,-0.209696621770473,-0.0990095672728818,-0.130294694892387,-0.157871037909791,-0.114666521504187,-0.212803570058483,-0.187672704323439,-0.175707542967434
"burn, corneal/conjunctival sac",-0.0622937795275042,-0.206378167348931,-0.442977190516196,-0.559853436813167,-0.338269970747313,-0.165376095628726,-0.178376558273196,-0.276870370718147,-0.158718546427495,-0.0381017538855635,-0.113888358230842,-0.0344828785634382,-0.0821735311291136,-0.292691588166903,-0.317567449637521,-0.184047413143656,-0.193200434317857,-0.149955579911951,-0.189416948989679,-0.169925346587486,-0.169897817806161,-0.0223457596340241,0.19844814472942,0.0401655511270978
"carcinoma in situ - eye",0.0768846143715637,-0.138985044402496,-0.378632906638082,-0.654171485809584,-0.421653772274591,-0.00495998171777909,-0.226814303987012,-0.350330097383339,-0.373229422347233,-0.259598788874233,-0.429128807403238,-0.140074094138999,-0.130397485136596,-0.311063455670312,-0.202565026324185,-0.215193787224008,-0.425134254094828,-0.366181690775714,-0.239424642542343,-0.357093558683936,-0.355224036822114,-0.431555981660063,-0.314419867024988,-0.396254929864232
"cataract, age-related",-0.0707230476141777,-0.00270738110229839,-0.351242546314574,-0.80850308701414,-0.464021289381802,-0.0917615438666078,-0.14247575233165,-0.166209493626251,-0.0621436788386621,-0.211441088751483,-0.154780670076466,-0.0734813375714128,-0.236517057107436,-0.12701984795126,0.00874752656296733,-0.163424681192158,-0.13226693692213,0.00428303698359439,-0.167527954854694,-0.0668400340328078,-0.0320161925301466,-0.253478615126494,-0.0830064558254762,-0.0847847288164809
"cataract, infantile/juvenile",0.0611806598412778,0.120773582193948,-0.249672058812537,-0.722820306050619,-0.35237139517327,0.0154369415663235,0.109102152528307,-0.0514279615986792,0.0984709867062972,0.0355876705654312,0.0149516248728074,0.137244695215513,0.0488314444984673,0.128412772854278,0.339807864288493,0.21300564467848,0.125269269805049,0.293045757967187,0.252013918977454,0.222369013655027,0.437063769969897,0.209026185130517,0.280319823181342,0.275867562209452
"cataract, secondary",-0.0303124178702426,-0.0683235349136099,-0.406751922430135,-0.810609851175216,-0.460411760962546,-0.0879841715606938,-0.0947795854729519,-0.227488320053048,-0.136933765394144,-0.197707757726878,-0.209780426148094,-0.141354475511336,-0.196867985838998,-0.224125838909778,-0.0728433475573123,-0.120513723792419,-0.209309800555562,-0.0855032294012882,-0.147297577270726,-0.1766494934979,-0.144138894651754,-0.225949944447928,-0.15973820533032,-0.181165360211215
"cataract, traumatic",0.030162384523445,-0.0525434818429395,-0.340710869909773,-0.735276040384168,-0.474668163926557,-0.143287672976502,-0.0604811837520866,-0.0637937047070523,0.0675194842528498,-0.0411618834992011,-0.0698670408926848,-0.0424790937827403,-0.088116387902358,-0.15320822395601,-0.0918731725063708,-0.131889910461281,-0.227424990807393,-0.0577763028816955,-0.0247325698385998,0.070855468309543,0.240090691693443,0.0664759700756404,0.0778195237681807,0.0127660467150735
"central serous chorioretinopathy",-0.0169427904889593,-0.0227767933869643,-0.328237530378515,-0.577494828872845,-0.384015238138248,-0.086150028656809,-0.0893052910654206,-0.186923867096543,-0.0948344435655576,-0.175223250812872,-0.190533475137683,-0.110510446491258,-0.181316331715906,-0.137127970125653,-0.0420425603064206,-0.0772253433294261,-0.169619792812713,-0.022147738834047,-0.0568542397431986,-0.0883888439225669,-0.0399514792052384,-0.162795846380795,-0.130398272899802,-0.142538384051184
"chalazion",-0.148287860497918,-0.106058655606373,-0.385521439454931,-0.711265067949081,-0.431259670563504,-0.138328564725669,-0.236406011424062,-0.237535948333134,-0.0779138608369627,-0.217406881502038,-0.134411184661998,-0.0766020010368332,-0.354903800229327,-0.285838737619703,-0.185781173042837,-0.347631576977728,-0.303601667819228,-0.169976137463274,-0.363346352614615,-0.230990918602266,-0.108931279709056,-0.312279416073971,-0.124404942707154,-0.17186259703041
"chorioretinal scars",-0.0716174277658935,0.00137952715832877,-0.349022928029983,-0.75691252609367,-0.451902710519646,-0.0809615521557171,-0.14101336914106,-0.167690807566407,-0.0672437368890101,-0.235926006981116,-0.181070986197673,-0.102038251558073,-0.246709601147274,-0.128896774554449,0.00550803545291699,-0.211687226821971,-0.187490040996875,-0.0260197031175114,-0.195459078299456,-0.111417266322572,-0.0675770694243573,-0.296519864377068,-0.14166082693163,-0.130979677251416
"chorioretinal scars following detach surg",-0.0129933943827565,-0.0624603545450821,-0.31202497006824,-0.649046745328822,-0.319035766543371,0.0712692452711428,0.00993294055636195,-0.124856914539985,0.023089648309218,-0.164410611186301,-0.14724967027725,-0.0534073061893474,-0.146774820349371,-0.180333716826021,-0.0228082174812436,-0.112956867178469,-0.189905928965092,0.00325178166856,-0.0679124254864087,-0.105445677130689,-0.0358175325805983,-0.2155340929811,-0.204715414423276,-0.161099606526927
"choroidal degenerations",0.000211981350040633,-0.0162714232724472,-0.394696585709713,-0.748163671070795,-0.531888766739232,-0.1998748585159,-0.126215027951018,-0.169691333478424,-0.120592707803444,-0.251463811504785,-0.166724437814457,-0.134966956070471,-0.244343470572768,-0.201213398721067,-0.0774022965161673,-0.115334061080514,-0.175680108095548,-0.0195927843457508,-0.0874493463640333,-0.11311513946303,-0.0837603520964021,-0.17721257216519,-0.116842131903372,-0.100427594354948
"choroidal detachment",-0.144661716281999,-0.096881987784079,-0.252659334274863,-0.520633874326719,-0.348942553360714,-0.104127779535019,-0.201288757263828,-0.207454218677633,-0.060479956177396,-0.215084755734812,-0.203579039775987,-0.0223396074301013,-0.257351182262335,-0.159872222673105,-0.00169893379848207,-0.187086530357181,-0.219927132728072,-0.0159880900306829,-0.235581672678186,-0.143432872503903,0.0106271217168726,-0.247073083661602,-0.136927933590333,-0.0541953971846308
"choroidal hemorrhage",0.0340804656040627,-0.0598840362426321,-0.230879162372874,-0.49844084097443,-0.374444964898559,-0.0939205816405472,-0.118291397774782,-0.205168346261948,-0.0677818492405079,-0.0570450276050134,-0.162556355622563,-0.0497725395819895,-0.0131256417598085,-0.00785105143934262,0.140351561813368,-0.00999075454869356,-0.0337691594230042,0.00782350724687815,-0.0781643456148883,0.0137372927168169,0.00241847340746536,-0.0563136106891273,0.0129055537818592,-0.103961254592914
"choroidal rupture",0.0320628282729553,0.0162226195916439,-0.350431616412379,-0.654505375221951,-0.386559835021976,-0.151261625151863,-0.00266795310315276,-0.243664496483606,-0.146377248200146,-0.223832843102275,-0.209328017892255,-0.0701975014019701,-0.150659858098993,-0.0737437347772781,-0.20526886353806,-0.197303950875447,-0.21490148210057,-0.0265504630160125,-0.0869063806781426,-0.136833582228468,-0.195433641043468,-0.259283988122927,-0.182964308811488,-0.119168576414407
"CME post-cataract surg",-0.00546309992011053,-0.0383124055178323,-0.279138814376814,-0.599674242250842,-0.377000113555316,-0.184486576798771,-0.192926936930426,-0.27993775268358,-0.182340828444083,-0.236194913501223,-0.26318065437221,-0.187113525910611,-0.193494831068414,-0.199015957730453,-0.100395133226555,-0.131505181572989,-0.239321087432243,-0.160727799263304,-0.165603630492386,-0.190223065040775,-0.15574961229522,-0.268958028202233,-0.236549299115834,-0.22918433956007
"color vision deficiencies",-0.0983657344913035,-0.0677385436366562,-0.452348209275555,-0.86560499448664,-0.513384082111613,-0.170057943300428,-0.298752164865579,-0.290506598760737,-0.106286854766062,-0.347959751545105,-0.288478044965932,-0.151534904105108,-0.354785639766485,-0.277928937766761,-0.126379537884442,-0.294558626678679,-0.275401422706377,-0.16585066367258,-0.378351352638146,-0.270205138737601,-0.206432335406978,-0.450848964405898,-0.315416383427616,-0.293273725214701
"conjunctival degen/deposits",0.00258260394187103,-0.00197676977937805,-0.378008127239666,-0.812214659029842,-0.502323237896956,-0.154579928801534,-0.140878874805611,-0.235796691835181,-0.142575068592113,-0.18065263632875,-0.183782561978348,-0.113738628169135,-0.153243110105598,-0.14089992916881,-0.0337958319343833,-0.100054895261575,-0.204663309720838,-0.0737394495969098,-0.149637106403851,-0.180397443080149,-0.170660890724366,-0.243984472984629,-0.167919570462329,-0.202706158424022
"conjunctival hemorrhage",-0.159408558546654,-0.13663272620279,-0.389489212764732,-0.709848488404511,-0.465406109268726,-0.194953735185139,-0.304201176597893,-0.276579683254077,-0.0865555808895994,-0.205316343920108,-0.110884208630918,-0.107635976748488,-0.366595506733744,-0.323258627782813,-0.203353063654345,-0.348086783710662,-0.30070253605235,-0.129710580209442,-0.331178668102159,-0.195712310347997,0.0203602563853544,-0.199683011451453,0.019251958084229,-0.0756487354509968
"conjunctival scars",-0.0940021532430745,-0.02693174027291,-0.253542024106647,-0.682003269662423,-0.351187648254714,-0.0747067920285804,-0.176157240249146,-0.170035346128746,-0.0418936803154453,-0.239354840116812,-0.127370895386518,-0.0583902927561641,-0.226172900989883,-0.0998302811457554,0.11565167533128,-0.133907249699658,-0.106807209019128,0.0636319391338209,-0.174455605950203,-0.101787643820533,-0.0710584006064469,-0.283716990159969,-0.115513731384368,-0.145947221789416
"conjunctivitis - infectious",-0.0235475555528199,-0.0244480452285226,-0.291772108730332,-0.618618002811825,-0.468926614183725,-0.274333934172739,-0.260211778895439,-0.344679317915583,-0.269170499616216,-0.328943055073189,-0.358103004103208,-0.358761424834958,-0.42720643469801,-0.408860102891393,-0.32572668301984,-0.325510390150549,-0.393271639770834,-0.289559184907713,-0.285085890247406,-0.285185721771115,-0.263498114016712,-0.353472348118309,-0.319041110203965,-0.396140700290034
"conjunctivitis - noninfectious",-0.0562385376652585,0.0262367553060562,-0.360036558875204,-0.769724201225647,-0.450944405337714,-0.0661674449815499,-0.159110578320679,-0.185533316176181,-0.0663420135076721,-0.2385178579021,-0.145278462766784,-0.0379308975727116,-0.239538186060852,-0.130775076284951,0.0189008049485144,-0.214580976335708,-0.186646415773935,-0.0239573812351458,-0.223101318907595,-0.110682826579378,-0.0502916987323898,-0.298845955136488,-0.0859729572128284,-0.0698371753313928
"conjunctivitis - other/unspec",-0.0000898150477708958,-0.045150382374445,-0.322405861804712,-0.607141249636276,-0.402733966800849,-0.215417195936912,-0.235359040550391,-0.27493573563428,-0.158420379727278,-0.216609915730877,-0.256288437294375,-0.22255871162056,-0.312206753351238,-0.30786314265936,-0.220571698506736,-0.186445879054246,-0.282396040709657,-0.17094996923637,-0.246115769933176,-0.242536538072937,-0.15113596439901,-0.229696576406313,-0.183935468807789,-0.222832834031854
"conjunctivitis - other/unspec acute",-0.233468208011872,-0.178400267959213,-0.382465637795923,-0.658464665388613,-0.45308256926879,-0.301357819388524,-0.400810767378809,-0.336914977810515,-0.177280695256267,-0.254957052001922,-0.168526653205864,-0.20769344042772,-0.525970867232588,-0.443509231917021,-0.360992076231345,-0.461781779570362,-0.392525212443108,-0.294081567591788,-0.429338960453855,-0.215160709023918,-0.0612698805358908,-0.226982939541079,0.0333154211827283,-0.152418158766042
"conjunctivitis - other/unspec chronic",-0.170425752959788,-0.168447423347235,-0.426282347739021,-0.752115547676731,-0.490619157008518,-0.184778434000122,-0.299510298068702,-0.300837342617163,-0.124847185841731,-0.300681442647784,-0.26504788845833,-0.178234534730114,-0.41783832616206,-0.388300212126361,-0.232156335763027,-0.409568568169477,-0.371773726281379,-0.20965656815537,-0.396049449738995,-0.295448989408462,-0.149178699453426,-0.388505055667526,-0.231344898514767,-0.241855747156295
"corneal degen - arcus senilis",0.0466267254556008,-0.00522783769034381,-0.408623163755114,-0.797939937235291,-0.511294370325428,-0.19245761398787,-0.148830842487116,-0.213003184519148,-0.0935504782941914,-0.213192794020551,-0.212326332089462,-0.081118223094768,-0.17249877077802,-0.169439024676581,0.00695833154700946,-0.112551861205941,-0.224089466362853,-0.0885010075675857,-0.163242284576255,-0.155733812150515,-0.122932105415662,-0.217126266307007,-0.173462447691008,-0.143176696767094
"corneal degen - band keratopathy",-0.0110201812148404,0.0397001863202801,-0.355196877916046,-0.733073841084832,-0.365647412420302,-0.0474473406674714,-0.126563034234834,-0.170804596057807,-0.0988355100992435,-0.221838251792597,-0.177382278536916,-0.114532500674475,-0.20856694330986,-0.125283394847788,0.0071524931593254,-0.146085586740964,-0.142553861159158,-0.0402216992679477,-0.181411946203237,-0.0773310071507878,-0.0923980067203856,-0.276835971410842,-0.117226439721909,-0.174881100317193
"corneal degen - nodular",-0.055041782368254,0.0364303752745659,-0.350607251972537,-0.847238003206763,-0.459687874503582,-0.0357937652216291,-0.158432146288139,-0.176185450709554,-0.100447444527728,-0.224665817756774,-0.167888560459356,-0.0745033407193748,-0.261141015074825,-0.1533358468495,0.0248312632735138,-0.181100753232501,-0.147643669058032,0.0284111398368344,-0.199837400618036,-0.0967126959297136,-0.0665748916245227,-0.295875784165411,-0.140551592898844,-0.130879217934153
"corneal degen - other/unspec",-0.0353216927430027,-0.00205088770812093,-0.304004419964163,-0.745777559434783,-0.398667755970678,0.115607263504492,-0.173640930506287,-0.224001383232094,-0.130255796021343,-0.173560107890478,-0.161685414741517,0.0235255907737605,-0.0859229642811372,-0.0814418598273184,0.190201032080077,-0.146596188585301,-0.0519817767153874,0.304383064537644,0.0158560910844733,0.00697121805843088,0.110297385951143,-0.266049111418789,-0.0740669463274884,0.095831475786111
"corneal degen - peripheral",0.0619545146827387,-0.011733317211727,-0.328194517857239,-0.831558288619713,-0.54185823104242,-0.212596054498479,-0.256805104931054,-0.291045186648693,-0.310984958265424,-0.322861158809592,-0.416530446964232,-0.340280159904849,-0.400773727246774,-0.47420572892578,-0.35194828219685,-0.384436255673231,-0.439988153264822,-0.354667372346592,-0.395130772497119,-0.400601670081691,-0.434708553518408,-0.426196420144402,-0.349575533815349,-0.441586743188996
"corneal edemas",-0.0961477001603204,-0.0639344950133577,-0.315587642582972,-0.688455557863494,-0.375687893506329,-0.092283663167401,-0.179587567413786,-0.208200936176323,-0.116455311312093,-0.228416746175463,-0.1758781015735,-0.0697511646937896,-0.259850109026753,-0.167581200886754,-0.0306634240467511,-0.15693335051223,-0.152989151406347,-0.0203990282252522,-0.16899758929165,-0.0960964080884232,-0.0797754783975975,-0.25917732958768,-0.121113968917669,-0.110755381953084
