"","entity_name","meanQ32020","medianQ32020","upperboundQ32020","lowerboundQ32020","confintQ32020","pvalEmpricialQ32020","meanQ42020","medianQ42020","upperboundQ42020","lowerboundQ42020","confintQ42020","pvalEmpricialQ42020","meanQ12021","medianQ12021","upperboundQ12021","lowerboundQ12021","confintQ12021","pvalEmpricialQ12021","meanQ22021","medianQ22021","upperboundQ22021","lowerboundQ22021","confintQ22021","pvalEmpricialQ22021","meanQ32021","medianQ32021","upperboundQ32021","lowerboundQ32021","confintQ32021","pvalEmpricialQ32021","meanQ42021","medianQ42021","upperboundQ42021","lowerboundQ42021","confintQ42021","pvalEmpricialQ42021","meanAllpost","medianAllpost","upperboundAllpost","lowerboundAllpost","confintAllpost","pvalEmpricialAllpost"
"23","other corneal deformities","-0.0717932274831874","-0.0723474378230339","-0.0132240450564765","-0.127409023656358","(-0.127,-0.013)","0.02147","-0.00569021183967346","-0.00622741802543724","0.0579897279151365","-0.0660117212266818","(-0.066,0.058)","0.85486","-0.00114807246377362","-0.00207580825084018","0.0762358145374523","-0.0728723150170136","(-0.073,0.076)","0.97708","0.0994178365854803","0.0985481341359849","0.182926322230414","0.0205418370304201","(0.021,0.183)","0.00834","0.0587659179377186","0.0578635248408071","0.140246286864516","-0.0176658348438059","(-0.018,0.14)","0.11914","0.0242635276283803","0.0235375674237248","0.102464120346519","-0.0495751766857291","(-0.05,0.102)","0.51848","0.0175812018541279","0.0174988097823115","0.046284476643921","-0.0106195405728102","(-0.011,0.046)","0.2123"
"24","other corneal disorders","-0.1557779624277","-0.156318790232377","-0.0979889309660785","-0.210597344507253","(-0.211,-0.098)","0.00001","-0.155389484768872","-0.155935413483641","-0.0976092986072999","-0.210058020931847","(-0.21,-0.098)","0.00002","-0.116991995876158","-0.117718719468292","-0.050877946532017","-0.179811057881023","(-0.18,-0.051)","0.00199","-0.0954720836580131","-0.0960229111529138","-0.0281210245761284","-0.15961959750351","(-0.16,-0.028)","0.01027","-0.142146874786372","-0.142747553792657","-0.0782325572773473","-0.20230554413565","(-0.202,-0.078)","0.00007","-0.215555869821444","-0.215949034760972","-0.157075037933302","-0.270958369025178","(-0.271,-0.157)","0.00001","-0.145867177711411","-0.145966120388992","-0.121518717366521","-0.16955607199542","(-0.17,-0.122)","0.00001"
"25","superficial punctate keratitis","-0.165430708373671","-0.165844083457551","-0.113832188230096","-0.214415098622777","(-0.214,-0.114)","0.00001","-0.149368552873669","-0.14987527124718","-0.0971139080016417","-0.199034969510481","(-0.199,-0.097)","0.00001","-0.120225020053362","-0.120747116785415","-0.0612613840347273","-0.176348614966137","(-0.176,-0.061)","0.00032","-0.115819589916294","-0.116454996044666","-0.0567320335363297","-0.172094873315056","(-0.172,-0.057)","0.00067","-0.145095599333336","-0.145644238481577","-0.0879650581031668","-0.19966705313263","(-0.2,-0.088)","0.00003","-0.224582833402531","-0.225120894056012","-0.172930879117791","-0.273898387657903","(-0.274,-0.173)","0.00001","-0.150863781397174","-0.150995971035822","-0.12917037603908","-0.172056206669146","(-0.172,-0.129)","0.00001"
"26","keratoconjunctivitis - dry eye syndrome","-0.103167642109633","-0.104056001495421","-0.0406803413054083","-0.160882125433031","(-0.161,-0.041)","0.00279","-0.111532114389803","-0.112305572863766","-0.0506355687976085","-0.16818333575775","(-0.168,-0.051)","0.00092","-0.04025661493562","-0.0411156012429718","0.029057155727237","-0.104540886960696","(-0.105,0.029)","0.2579","-0.0278799121457364","-0.0287763895002045","0.0416512570304194","-0.0926828997887269","(-0.093,0.042)","0.4247","-0.0100125848819899","-0.0108490920479521","0.0612585212044075","-0.0766349352779064","(-0.077,0.061)","0.77699","-0.0832206889524845","-0.0839593611484172","-0.0178937596296827","-0.143645881337556","(-0.144,-0.018)","0.01726","-0.061744039307999","-0.0618913363049803","-0.0358998080401388","-0.0869585108532264","(-0.087,-0.036)","0.00002"
"29","scleritis","-0.0867667017665465","-0.0869735775358692","-0.0484257035062723","-0.123697986060294","(-0.124,-0.048)","0.00007","-0.101670624073121","-0.101939568884111","-0.0642492493468847","-0.13771420642395","(-0.138,-0.064)","0.00001","-0.0639589854145692","-0.0642465017452946","-0.0215508588174887","-0.104760321011874","(-0.105,-0.022)","0.00494","-0.0356642621852281","-0.0359251062098067","0.00771015545977347","-0.0778153915941438","(-0.078,0.008)","0.11355","-0.0507452607050176","-0.0510401275641856","-0.00754624954789833","-0.0924070751201176","(-0.092,-0.008)","0.02594","-0.0956521860421336","-0.0959037281017451","-0.0548238832063306","-0.134933262094121","(-0.135,-0.055)","0.00002","-0.0735447274232567","-0.0736341501939759","-0.0575481399730511","-0.089496631602484","(-0.089,-0.058)","0.00001"
"30","epiphora","-0.244299158436013","-0.244705032558485","-0.193538118155062","-0.292427378874755","(-0.292,-0.194)","0.00001","-0.230401461593496","-0.230748134396768","-0.17916493220837","-0.279406282377528","(-0.279,-0.179)","0.00001","-0.240112344077576","-0.240819595976223","-0.174789489098028","-0.301177922204955","(-0.301,-0.175)","0.00001","-0.179590730625232","-0.18039544555432","-0.109532223473103","-0.245611507415958","(-0.246,-0.11)","0.00005","-0.196268428666031","-0.196967175568833","-0.127498466757062","-0.261018787587383","(-0.261,-0.127)","0.00001","-0.230506177686884","-0.23106905284976","-0.164852764750044","-0.29271250111607","(-0.293,-0.165)","0.00001","-0.21559797076377","-0.21564846024321","-0.191189613496946","-0.239090732929415","(-0.239,-0.191)","0.00001"
"32","chalazion","-0.181856512413444","-0.182130803351502","-0.140528281395735","-0.221632129981752","(-0.222,-0.141)","0.00001","-0.140077222001102","-0.140295770433598","-0.095986580649183","-0.182309903367086","(-0.182,-0.096)","0.00001","-0.267662125193904","-0.268095126532108","-0.217615151307235","-0.315440911212488","(-0.315,-0.218)","0.00001","-0.270293349839398","-0.270764674968768","-0.221684924167884","-0.316795572896179","(-0.317,-0.222)","0.00001","-0.231168089724578","-0.231644363328676","-0.1793991941833","-0.280331571757741","(-0.28,-0.179)","0.00001","-0.199290737964794","-0.199762087948584","-0.144670141150644","-0.250994696589513","(-0.251,-0.145)","0.00001","-0.211007062252471","-0.211087478090928","-0.192118984717569","-0.229580024241031","(-0.23,-0.192)","0.00001"
"35","entropion","-0.0922541862828391","-0.0928110459055783","-0.0425372002159125","-0.138681951091909","(-0.139,-0.043)","0.00064","-0.125956980224484","-0.126371449141779","-0.0786874914499586","-0.170989523130678","(-0.171,-0.079)","0.00001","-0.0795898485914095","-0.0803250374123266","-0.0230277852031835","-0.132634215587466","(-0.133,-0.023)","0.00762","-0.0451795052224593","-0.0456889048408707","0.0121397837346563","-0.0993285125189515","(-0.099,0.012)","0.126","-0.0403227319591768","-0.0409950929393897","0.017983127884734","-0.0953087468114414","(-0.095,0.018)","0.17776","-0.0987879001165677","-0.0993519090146782","-0.0435899674086031","-0.150733690951199","(-0.151,-0.044)","0.0008","-0.080041190136255","-0.0801314442892701","-0.0588938592093387","-0.100658121108647","(-0.101,-0.059)","0.00001"
"36","trichiasis w/o entropion","-0.191733578529585","-0.192232812723012","-0.138150475669099","-0.242588240872703","(-0.243,-0.138)","0.00001","-0.17669579139155","-0.177103708279146","-0.122598667818785","-0.228098148150635","(-0.228,-0.123)","0.00001","-0.173627528036892","-0.174280712584923","-0.107357371164293","-0.235909923631304","(-0.236,-0.107)","0.00004","-0.125249210269516","-0.125933624091831","-0.0557386986054653","-0.190529439822553","(-0.191,-0.056)","0.00182","-0.18450404749356","-0.185136810026744","-0.120071292433073","-0.245265397463694","(-0.245,-0.12)","0.00001","-0.197078072792726","-0.19768250089827","-0.133249157096599","-0.257370304042874","(-0.257,-0.133)","0.00001","-0.169390645810545","-0.169485883299431","-0.144942317314547","-0.193083169656404","(-0.193,-0.145)","0.00001"
"37","ectropion","-0.251352156766093","-0.251699571388116","-0.202233159268649","-0.298315271036347","(-0.298,-0.202)","0.00001","-0.241789303830089","-0.242206754723765","-0.192674112653609","-0.288604490450782","(-0.289,-0.193)","0.00001","-0.233312563330667","-0.233924881372994","-0.172654000672936","-0.289894901176529","(-0.29,-0.173)","0.00001","-0.173623199567612","-0.174270350522988","-0.109151705680793","-0.234614637857223","(-0.235,-0.109)","0.00001","-0.216194973030118","-0.216905320642291","-0.1546194178046","-0.273827528173854","(-0.274,-0.155)","0.00001","-0.271980022528297","-0.272529061075506","-0.215270215230983","-0.325345645026186","(-0.325,-0.215)","0.00001","-0.227351006290639","-0.227447507622788","-0.205067100533777","-0.249083366761551","(-0.249,-0.205)","0.00001"
"38","lagophthalmos","-0.115884701178866","-0.116571930935554","-0.0611141642268325","-0.167297166214347","(-0.167,-0.061)","0.00022","-0.137416948018189","-0.138154206044644","-0.0834890068922302","-0.187464374155032","(-0.187,-0.083)","0.00002","-0.0707135490421923","-0.0713809115329392","-0.0098516810741322","-0.127841913698293","(-0.128,-0.01)","0.02838","-0.065980255578146","-0.0665890585239062","-0.00642664327048222","-0.12242108765844","(-0.122,-0.006)","0.03582","-0.0718181286424352","-0.072565305952669","-0.0113482265806427","-0.127919516275394","(-0.128,-0.011)","0.02438","-0.150997612208044","-0.151665021588251","-0.0960842197900598","-0.202360590795967","(-0.202,-0.096)","0.00002","-0.101850943344703","-0.101924888524397","-0.0795252757169257","-0.123506007836465","(-0.124,-0.08)","0.00001"
"39","conjunctivitis - other/unspec acute","-0.302487190844012","-0.302862348421346","-0.258597426160472","-0.344470774911885","(-0.344,-0.259)","0.00001","-0.21118523935353","-0.211712523397116","-0.160793063479738","-0.259045062814147","(-0.259,-0.161)","0.00001","-0.440563425775081","-0.440985088647494","-0.395355834434996","-0.483146644041713","(-0.483,-0.395)","0.00001","-0.381552831948061","-0.381997259605438","-0.332230119439017","-0.428336929706921","(-0.428,-0.332)","0.00001","-0.231058367905943","-0.231707485113442","-0.16713293201434","-0.29104524081915","(-0.291,-0.167)","0.00001","-0.11665917040853","-0.117410152366785","-0.0423518279971061","-0.186458417818442","(-0.186,-0.042)","0.0055","-0.281635925002353","-0.281789692109983","-0.260081595439149","-0.302587264459864","(-0.303,-0.26)","0.00001"
"40","corneal edemas","-0.167700765169383","-0.167867050491473","-0.133652514798449","-0.20058271855959","(-0.201,-0.134)","0.00001","-0.158530375676601","-0.158747635112022","-0.123648324956315","-0.192124788585706","(-0.192,-0.124)","0.00001","-0.152418685651061","-0.152833903005046","-0.112787006667831","-0.190222374659844","(-0.19,-0.113)","0.00001","-0.109548734166877","-0.109771594370049","-0.0690952655297843","-0.148417976642345","(-0.148,-0.069)","0.00001","-0.114967635983856","-0.115284594644072","-0.0746317104164384","-0.153623021558452","(-0.154,-0.075)","0.00001","-0.16437685892614","-0.164710434079153","-0.125501836430419","-0.201352181951738","(-0.201,-0.126)","0.00001","-0.141758998618418","-0.141760101531412","-0.126850125491472","-0.156510503024393","(-0.157,-0.127)","0.00001"
"41","corneal membrane changes","-0.284750430411687","-0.285386843956973","-0.232426767739123","-0.333414824582023","(-0.333,-0.232)","0.00001","0.00066441348216533","-0.000249132155892844","0.0782565253078495","-0.0706240250183371","(-0.071,0.078)","0.98622","-0.183998676362038","-0.185048579265152","-0.110005589266657","-0.251608336456488","(-0.252,-0.11)","0.00008","-0.0875005163687586","-0.0887206601763663","-0.00587439840417232","-0.162598793536203","(-0.163,-0.006)","0.04316","-0.0800639792487114","-0.0813275672990734","0.00358369278934869","-0.156721382503361","(-0.157,0.004)","0.06959","-0.0054611004792701","-0.00692714201494754","0.0891541802423197","-0.0921187187276941","(-0.092,0.089)","0.90532","-0.113193233912049","-0.113395865757011","-0.0829758061919725","-0.142192688667542","(-0.142,-0.083)","0.00001"
"42","corneal degen - arcus senilis","-0.150567536003247","-0.151016637102869","-0.102903219924973","-0.195354035923184","(-0.195,-0.103)","0.00001","-0.168344516680066","-0.168749965920805","-0.121601572595416","-0.21243536997775","(-0.212,-0.122)","0.00001","-0.111476013324079","-0.111907126532714","-0.0593840824806252","-0.160656535552584","(-0.161,-0.059)","0.00012","-0.141254740586851","-0.141722960883913","-0.0923178550014153","-0.187617042791811","(-0.188,-0.092)","0.00001","-0.146660063705089","-0.147156336131531","-0.0976813663734854","-0.192734970498419","(-0.193,-0.098)","0.00001","-0.17795986153566","-0.178448923401841","-0.130401788876871","-0.222487762741806","(-0.222,-0.13)","0.00001","-0.151656666638491","-0.151716527966628","-0.132806622196333","-0.170196822420212","(-0.17,-0.133)","0.00001"
