"","entity_name","catCode","meanQ32020","medianQ32020","upperboundQ32020","lowerboundQ32020","confintQ32020","pvalEmpricialQ32020","meanQ42020","medianQ42020","upperboundQ42020","lowerboundQ42020","confintQ42020","pvalEmpricialQ42020","meanQ12021","medianQ12021","upperboundQ12021","lowerboundQ12021","confintQ12021","pvalEmpricialQ12021","meanQ22021","medianQ22021","upperboundQ22021","lowerboundQ22021","confintQ22021","pvalEmpricialQ22021","meanQ32021","medianQ32021","upperboundQ32021","lowerboundQ32021","confintQ32021","pvalEmpricialQ32021","meanQ42021","medianQ42021","upperboundQ42021","lowerboundQ42021","confintQ42021","pvalEmpricialQ42021","meanAllpost","medianAllpost","upperboundAllpost","lowerboundAllpost","confintAllpost","pvalEmpricialAllpost","Category","rn","Q32020w","Q42020w","Q12021w","Q22021w","Q32021w","Q42021w","2020-04-01","Apr 2020","RMSPE","mean_monthly_pts","median_monthly_pts","short_name","recoveredMonth","fullRecovery","recoveredMonthNum","adj.pval_Q32020","adj.pval_Q42020","adj.pval_Q12021","adj.pval_Q22021","adj.pval_Q32021","adj.pval_Q42021","Q32020w_adj","Q42020w_adj","Q12021w_adj","Q22021w_adj","Q32021w_adj","Q42021w_adj"
"11","anterior uveitis - acute, other/unspec","M",-0.16663255993666,-0.167316025473055,-0.102915470303228,-0.226350493452622,"(-0.226,-0.103)",0.00002,-0.170535177152291,-0.171143147899343,-0.108271592760911,-0.229365067005583,"(-0.229,-0.108)",0.00002,-0.123174723636396,-0.124072230468097,-0.0423049860938293,-0.198796700512067,"(-0.199,-0.042)",0.00777,-0.162747583530582,-0.163614771044036,-0.0864134274734126,-0.234053791350956,"(-0.234,-0.086)",0.0005,-0.120551170691091,-0.121408205501405,-0.0394144309642074,-0.19565066597605,"(-0.196,-0.039)",0.00831,-0.241164866897974,-0.24186644241499,-0.172324525984668,-0.305722811884748,"(-0.306,-0.172)",0.00001,-0.161951768189722,-0.162123775569502,-0.133838528960697,-0.18937080691312,"(-0.189,-0.134)",0.00001,"Uveitis and ocular inflammation",11,-1.80292735347837,-1.84515280648042,-0.59831938655908,-1.23702850794213,-0.577475750988801,-2.77651313736584,-0.495733803886015,-4.4754941088048,0.107308854214911,4997.02,5045.5,"Uveitis","12",FALSE,12,0.00004,0.00004,0.00831,0.00075,0.00831,0.00004,-1.68742646436879,-1.72694682925102,-0.590043345303012,-1.17104004139156,-0.577475750988801,-2.44218764228495
"12","anterior uveitis - acute, primary","M",-0.088179842903038,-0.0889065829995083,-0.0127195110859943,-0.159240470415789,"(-0.159,-0.013)",0.03114,-0.126881525070689,-0.127732447054111,-0.0551872873324217,-0.194167416955456,"(-0.194,-0.055)",0.002,-0.0497954155810052,-0.0506854214819275,0.0362020758793598,-0.129884302584649,"(-0.13,0.036)",0.2643,-0.0182905679917639,-0.0194825257705766,0.0707681273893478,-0.100851160808935,"(-0.101,0.071)",0.68047,-0.0169524436351835,-0.0179808614843089,0.0720741042736174,-0.09993677441163,"(-0.1,0.072)",0.70097,-0.107286436880272,-0.108390648802562,-0.0265245267642513,-0.18170769553584,"(-0.182,-0.027)",0.0156,-0.0666390009085687,-0.0668078781091275,-0.0347343179582888,-0.0975584482049195,"(-0.098,-0.035)",0.00016,"Uveitis and ocular inflammation",12,-0.305918988076439,-0.788518953244462,-0.0662612884261997,-0.00704134818385226,-0.0060230369009359,-0.446363543187604,-0.483484800180571,-4.02978374679607,0.0815173793567532,8991.45,9001.5,"Uveitis","6",TRUE,6,0.06228,0.012,0.39645,0.70097,0.70097,0.0468,-0.244797378585979,-0.561177779228958,-0.0460709848643565,-0.0064984593563156,-0.0060230369009359,-0.328497345223521
"13","anterior uveitis - acute, recurrent","M",-0.140730672709369,-0.141547213863686,-0.0706626169518301,-0.206754056105884,"(-0.207,-0.071)",0.00061,-0.12908864242362,-0.12997751504109,-0.0583486856367375,-0.195820142031214,"(-0.196,-0.058)",0.00161,-0.0926270565920796,-0.0938590244018001,-0.00267516888061097,-0.17602221572506,"(-0.176,-0.003)",0.05776,-0.00986781555087701,-0.0110779642046109,0.0874491799177927,-0.100733978110062,"(-0.101,0.087)",0.83756,-0.0718463020663858,-0.0730202568852062,0.0194464124526491,-0.156776232915353,"(-0.157,0.019)",0.13764,-0.0856010334881558,-0.086874664937817,0.00399527541072654,-0.168712928211026,"(-0.169,0.004)",0.07666,-0.0859959899185292,-0.0861868033794707,-0.0527102943553918,-0.118189146937852,"(-0.118,-0.053)",0.00002,"Uveitis and ocular inflammation",13,-1.04169570120961,-0.83023632751603,-0.264122234192376,-0.00174919243105075,-0.142479385782293,-0.219855573134313,-0.522490853500059,-4.35489419418723,0.0814568831234964,4934.47,4938,"Uveitis","9",TRUE,9,0.00366,0.00483,0.11499,0.83756,0.165168,0.11499,-0.789540185771766,-0.688417958621957,-0.200343997247913,-0.00174919243105075,-0.129380256139661,-0.185147340836868
"14","anterior uveitis - chronic","M",-0.0849707256580654,-0.0857217505380575,-0.0210813269474348,-0.144390569968003,"(-0.144,-0.021)",0.01317,-0.120857707057382,-0.121642351725879,-0.0603356193688902,-0.177156478233321,"(-0.177,-0.06)",0.00036,-0.0439415350968512,-0.0447346760335585,0.0253625624553009,-0.108914869532843,"(-0.109,0.025)",0.21774,-0.0030514231695071,-0.00391236119178335,0.0690867849136177,-0.0702507620627785,"(-0.07,0.069)",0.93074,-0.0062558449707313,-0.0071541577346404,0.0667949281075544,-0.0739966496765486,"(-0.074,0.067)",0.86168,-0.0890064022571647,-0.0898525020053498,-0.0226646920500242,-0.15035083729404,"(-0.15,-0.023)",0.01233,-0.0548286558980281,-0.0549194120967354,-0.0287159389472531,-0.0805643591691452,"(-0.081,-0.029)",0.00013,"Uveitis and ocular inflammation",14,-0.367907417425673,-0.958329891120336,-0.0669868308638723,-0.000219016844880525,-0.000931315816804432,-0.391247219130343,-0.554210174049393,-5.22813276701892,0.0592302511778979,5765.02,5874.5,"Uveitis","6",TRUE,6,0.02634,0.00216,0.32661,0.93074,0.93074,0.02634,-0.309010198505652,-0.741781950071082,-0.0491700715853889,-0.000219016844880525,-0.000449015214029652,-0.323686608732048
"15","anterior uveitis - other","M",-0.106837337369647,-0.10743669863665,-0.0442117531202327,-0.166083291215363,"(-0.166,-0.044)",0.00228,-0.0240983805096021,-0.0247347068009255,0.0445246445827154,-0.088729490853892,"(-0.089,0.045)",0.48581,-0.176748347157577,-0.177546493450987,-0.102548904027566,-0.246745004334917,"(-0.247,-0.103)",0.0001,-0.12069493370511,-0.121575917130348,-0.0415774896770541,-0.194317809505442,"(-0.194,-0.042)",0.00683,0.00341459171879218,0.00238027482601687,0.0964153328165787,-0.083183038920166,"(-0.083,0.096)",0.93943,0.0720317907697519,0.0708010401036013,0.169927092132171,-0.0194260498370344,"(-0.019,0.17)",0.11071,-0.0616413445456344,-0.0618264065079011,-0.0304143182173678,-0.0917274154250547,"(-0.092,-0.03)",0.0002,"Uveitis and ocular inflammation",15,-0.6499534713556,-0.0173975288692219,-1.62791243750549,-0.601836911343817,0.000213350419457395,0.158530526288935,-0.579927691858139,-5.23559811354048,0.082364188981142,11072.75,11219,"Uveitis","9",FALSE,9,0.00684,0.582972,0.0006,0.01366,0.93943,0.166065,-0.532580659632726,-0.0130038746184981,-1.3112219128155,-0.51817755833825,0.000213350419457395,0.129324148457253
"16","aphakia","B",-0.0606980997187721,-0.0613012163556036,-0.0024035521278185,-0.115396609143481,"(-0.115,-0.002)",0.04667,-0.0920848695663047,-0.0928010248590597,-0.0354769642647626,-0.145052486402029,"(-0.145,-0.035)",0.0025,-0.0273486203537905,-0.0279788680033379,0.0368286510782056,-0.0869838150855642,"(-0.087,0.037)",0.39666,-0.0135363395247421,-0.0142449064179191,0.0506902678919883,-0.073339070734869,"(-0.073,0.051)",0.67321,0.0186069591898579,0.0179773726529771,0.0852275298487971,-0.0443063187124372,"(-0.044,0.085)",0.56457,-0.0254289790775884,-0.0261877812533589,0.0389320286400934,-0.0856820118310229,"(-0.086,0.039)",0.43191,-0.0332330816592099,-0.0333359311306095,-0.00886667939775806,-0.0570118092665816,"(-0.057,-0.009)",0.00857,"Cataract and other lens disorders",16,-0.186018657040607,-0.551723231331577,-0.0252886070875286,-0.00535630196760729,0.0106374292369031,-0.0213485954008713,-0.674780930940123,-6.36553506376658,0.0524541061090491,8457.65,8613.5,"Cataract","9",TRUE,9,0.14001,0.015,0.647865,0.67321,0.67321,0.647865,-0.119334978790761,-0.386729294313521,-0.0118712959781257,-0.00535630196760729,0.00736273583694136,-0.0110380316500967
"17","astigmatism","J",-0.163704932538138,-0.164246635966559,-0.114889889118482,-0.209220275707015,"(-0.209,-0.115)",0.00001,-0.197953846118312,-0.198422672282129,-0.151425800096595,-0.24187709528554,"(-0.242,-0.151)",0.00001,-0.164461316047807,-0.165100824827938,-0.109894926022346,-0.215580160537819,"(-0.216,-0.11)",0.00001,-0.15922880074118,-0.159802256325806,-0.104678335076665,-0.210577555652438,"(-0.211,-0.105)",0.00001,-0.187854075529611,-0.188396607810132,-0.135142502696564,-0.236873518886596,"(-0.237,-0.135)",0.00001,-0.229909520446397,-0.230644100244582,-0.179513232095232,-0.277097749793743,"(-0.277,-0.18)",0.00001,-0.180310185287142,-0.180406792864208,-0.16013084411121,-0.199934966865525,"(-0.2,-0.16)",0.00001,"Refractive error",17,-1.88472268655956,-2.27902787586431,-1.89343087352931,-1.8331893148098,-2.1627499698633,-2.64693117258642,-0.913560223847364,-9.39211330762241,0.0679284441042444,248383.92,256352.5,"Refra","No recovery",FALSE,0,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,-1.88472268655956,-2.27902787586431,-1.89343087352931,-1.8331893148098,-2.1627499698633,-2.64693117258642
"18","background retinopathy, unspec","K",-0.126455466858885,-0.126984194510338,-0.0741383236440496,-0.175952721593133,"(-0.176,-0.074)",0.00003,-0.267890962637029,-0.268284323052441,-0.225038238799818,-0.308701141080724,"(-0.309,-0.225)",0.00001,-0.360119646414584,-0.360542270752673,-0.315154647877188,-0.402324017466679,"(-0.402,-0.315)",0.00001,-0.366678143614828,-0.367172575840818,-0.321422797501046,-0.409094809518566,"(-0.409,-0.321)",0.00001,-0.234750416202251,-0.235460994078953,-0.178244739956582,-0.287544765978824,"(-0.288,-0.178)",0.00001,-0.306697255654539,-0.307431676490493,-0.256447666057711,-0.353771402033063,"(-0.354,-0.256)",0.00001,-0.271536907478043,-0.27162978333284,-0.252469165490124,-0.290103240710088,"(-0.29,-0.252)",0.00001,"Retinal and vitreous conditions",18,-1.31694683472392,-3.08420868557924,-4.14603064764254,-4.22153813707116,-2.70266404460726,-3.53098264466163,-0.754221665146753,-8.1605111941866,0.0638270823125133,747.83,764.5,"Retina/Vitreous","No recovery",FALSE,0,0.00003,0.000012,0.000012,0.000012,0.000012,0.000012,-1.31694683472392,-3.03536638822022,-4.08037307307614,-4.15468480708499,-2.65986398326723,-3.47506512354626
"19","benign neoplasm - choroid","H",-0.127232301881614,-0.127629727111497,-0.0807898411964359,-0.171593388047418,"(-0.172,-0.081)",0.00001,-0.198355120087027,-0.198667440085302,-0.155970885969309,-0.238785173157448,"(-0.239,-0.156)",0.00001,-0.163592653989103,-0.1639460497773,-0.115066628318753,-0.209994845951147,"(-0.21,-0.115)",0.00001,-0.19093335234559,-0.191206544416803,-0.144212917235812,-0.23596416792009,"(-0.236,-0.144)",0.00001,-0.158419251631802,-0.158849509363534,-0.109805057039889,-0.205041636060908,"(-0.205,-0.11)",0.00001,-0.22533258448224,-0.225591217738393,-0.180926789633033,-0.267791976568435,"(-0.268,-0.181)",0.00001,-0.173544708485933,-0.173628937585298,-0.155396214986232,-0.191242473113587,"(-0.191,-0.155)",0.00001,"Other specified eye disorders",19,-1.46481600829961,-2.28364771315716,-1.88343003199321,-2.19820145433168,-1.8238690362533,-2.59423724997314,-0.74702012669075,-7.42859937769409,0.0556099431630269,59888.48,62070,"Other","No recovery",FALSE,0,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,-1.46481600829961,-2.28364771315716,-1.88343003199321,-2.19820145433168,-1.8238690362533,-2.59423724997314
"20","benign neoplasm - ciliary body","H",-0.137892484187602,-0.138625389436023,-0.0767471271073178,-0.19447957661498,"(-0.194,-0.077)",0.00006,-0.165940287267205,-0.166816918909244,-0.108043737789194,-0.21987162250204,"(-0.22,-0.108)",0.00001,-0.0838610459842518,-0.0847318146777237,-0.0164643306894043,-0.146409167593283,"(-0.146,-0.016)",0.02036,-0.0937439748266263,-0.0946238669446341,-0.028002894879326,-0.154560703766949,"(-0.155,-0.028)",0.00811,-0.147585120658363,-0.148294543148163,-0.0860997259365655,-0.204793922297021,"(-0.205,-0.086)",0.00007,-0.195904607436968,-0.196418039033377,-0.138499611092271,-0.249463342438031,"(-0.249,-0.138)",0.00001,-0.13635262465361,-0.136471694835803,-0.112288371084743,-0.159861501302419,"(-0.16,-0.112)",0.00001,"Other specified eye disorders",20,-1.34047572835293,-1.91045815894308,-0.326570266955145,-0.451345123122004,-1.41194910973971,-2.25543514366606,-0.792770160876942,-7.70665033035598,0.0667400329172698,2360.12,2443.5,"Other","No recovery",FALSE,0,0.000105,0.00003,0.02036,0.009732,0.000105,0.00003,-1.26330891716391,-1.72815412016621,-0.326570266955145,-0.43425357569156,-1.35210849283681,-2.04021193452911
"21","benign neoplasm - conjunctiva","C",-0.107548535636224,-0.108551291989996,-0.0377860256537634,-0.172370775385011,"(-0.172,-0.038)",0.00431,-0.12459984932051,-0.125296642581636,-0.0572290054500452,-0.187366877079505,"(-0.187,-0.057)",0.00101,-0.0575734262047892,-0.0585476968987668,0.0204622614779803,-0.129075777801176,"(-0.129,0.02)",0.15247,-0.0334038859985911,-0.0346490531350356,0.0447328950252346,-0.105676169840526,"(-0.106,0.045)",0.39685,-0.0642880162982067,-0.0652108872847516,0.0115116192793445,-0.134510999656128,"(-0.135,0.012)",0.10229,-0.137891977291586,-0.138628918308886,-0.06838406660104,-0.201634693461592,"(-0.202,-0.068)",0.00041,-0.0896685071303044,-0.0898705571103773,-0.0614997012546368,-0.117046848951958,"(-0.117,-0.061)",0.00001,"Cornea and external disease",21,-0.585797232544832,-0.859465457179138,-0.108283375939434,-0.0308717680029361,-0.146573036048238,-1.07546826168274,-0.819054114085664,-7.72653381753197,0.0764860091168409,2148.38,2193.5,"Cornea/External","9",TRUE,9,0.00862,0.00303,0.182964,0.39685,0.153435,0.00246,-0.511250268295232,-0.722578531549431,-0.0977864992438145,-0.0308717680029361,-0.120506488569826,-0.828399005639959
