"Index","ICD.10.Code","Top10","DiagnosisEntity","CCSR.Category","Diagnosis"
"86","C69.91","Malignant neoplasm of eye and adnexa","malignant neoplasm - other/unspec","EYE008","Malignant neoplasm of unspecified site of right eye             "
"87","C69.92","Malignant neoplasm of eye and adnexa","malignant neoplasm - other/unspec","EYE008","Malignant neoplasm of unspecified site of left eye             "
"88","D03.10","Malignant neoplasm of eye and adnexa","melanoma in situ - eyelid","EYE008","Melanoma in situ of unspecified eyelid, including canthus             "
"89","D03.11","Malignant neoplasm of eye and adnexa","melanoma in situ - eyelid","EYE008","Melanoma in situ of right eyelid, including canthus             "
"90","D03.12","Malignant neoplasm of eye and adnexa","melanoma in situ - eyelid","EYE008","Melanoma in situ of left eyelid, including canthus             "
"91","D04.10","Malignant neoplasm of eye and adnexa","carcinoma in situ - eyelid","EYE008","Carcinoma in situ of skin of unspecified eyelid, including canthus           "
"92","D04.11","Malignant neoplasm of eye and adnexa","carcinoma in situ - eyelid","EYE008","Carcinoma in situ of skin of right eyelid, including canthus           "
"93","D04.12","Malignant neoplasm of eye and adnexa","carcinoma in situ - eyelid","EYE008","Carcinoma in situ of skin of left eyelid, including canthus           "
"94","D09.20","Malignant neoplasm of eye and adnexa","carcinoma in situ - eye","EYE008","Carcinoma in situ of unspecified eye               "
"95","D09.21","Malignant neoplasm of eye and adnexa","carcinoma in situ - eye","EYE008","Carcinoma in situ of right eye               "
"96","D09.22","Malignant neoplasm of eye and adnexa","carcinoma in situ - eye","EYE008","Carcinoma in situ of left eye               "
"97","D22.10","Benign neoplasm of eye and adnexa","benign neoplasm - eyelid","EYE008","Melanocytic nevi of unspecified eyelid, including canthus              "
"98","D22.11","Benign neoplasm of eye and adnexa","benign neoplasm - eyelid","EYE008","Melanocytic nevi of right eyelid, including canthus              "
"99","D22.12","Benign neoplasm of eye and adnexa","benign neoplasm - eyelid","EYE008","Melanocytic nevi of left eyelid, including canthus              "
"100","D23.10","Benign neoplasm of eye and adnexa","benign neoplasm - eyelid","EYE008","Other benign neoplasm of skin of unspecified eyelid, including canthus           "
"101","D23.11","Benign neoplasm of eye and adnexa","benign neoplasm - eyelid","EYE008","Other benign neoplasm of skin of right eyelid, including canthus           "
"102","D23.12","Benign neoplasm of eye and adnexa","benign neoplasm - eyelid","EYE008","Other benign neoplasm of skin of left eyelid, including canthus           "
"103","D31.00","Benign neoplasm of eye and adnexa","benign neoplasm - conjunctiva","EYE001","Benign neoplasm of unspecified conjunctiva                "
"104","D31.01","Benign neoplasm of eye and adnexa","benign neoplasm - conjunctiva","EYE001","Benign neoplasm of right conjunctiva                "
"105","D31.02","Benign neoplasm of eye and adnexa","benign neoplasm - conjunctiva","EYE001","Benign neoplasm of left conjunctiva                "
"106","D31.10","Benign neoplasm of eye and adnexa","benign neoplasm - cornea","EYE001","Benign neoplasm of unspecified cornea                "
"107","D31.11","Benign neoplasm of eye and adnexa","benign neoplasm - cornea","EYE001","Benign neoplasm of right cornea                "
"108","D31.12","Benign neoplasm of eye and adnexa","benign neoplasm - cornea","EYE001","Benign neoplasm of left cornea                "
"109","D31.20","Benign neoplasm of eye and adnexa","benign neoplasm - retina","EYE005","Benign neoplasm of unspecified retina                "
"110","D31.21","Benign neoplasm of eye and adnexa","benign neoplasm - retina","EYE005","Benign neoplasm of right retina                "
"111","D31.22","Benign neoplasm of eye and adnexa","benign neoplasm - retina","EYE005","Benign neoplasm of left retina                "
"112","D31.30","Benign neoplasm of eye and adnexa","benign neoplasm - choroid","EYE012","Benign neoplasm of unspecified choroid                "
"113","D31.31","Benign neoplasm of eye and adnexa","benign neoplasm - choroid","EYE012","Benign neoplasm of right choroid                "
"114","D31.32","Benign neoplasm of eye and adnexa","benign neoplasm - choroid","EYE012","Benign neoplasm of left choroid                "
"115","D31.40","Benign neoplasm of eye and adnexa","benign neoplasm - ciliary body","EYE012","Benign neoplasm of unspecified ciliary body               "
"116","D31.41","Benign neoplasm of eye and adnexa","benign neoplasm - ciliary body","EYE012","Benign neoplasm of right ciliary body               "
"117","D31.42","Benign neoplasm of eye and adnexa","benign neoplasm - ciliary body","EYE012","Benign neoplasm of left ciliary body               "
"118","D31.50","Benign neoplasm of eye and adnexa","benign neoplasm - lacrimal","EYE008","Benign neoplasm of unspecified lacrimal gland and duct             "
"119","D31.51","Benign neoplasm of eye and adnexa","benign neoplasm - lacrimal","EYE008","Benign neoplasm of right lacrimal gland and duct             "
"120","D31.52","Benign neoplasm of eye and adnexa","benign neoplasm - lacrimal","EYE008","Benign neoplasm of left lacrimal gland and duct             "
"121","D31.60","Benign neoplasm of eye and adnexa","benign neoplasm - orbit","EYE008","Benign neoplasm of unspecified site of unspecified orbit             "
"122","D31.61","Benign neoplasm of eye and adnexa","benign neoplasm - orbit","EYE008","Benign neoplasm of unspecified site of right orbit             "
"123","D31.62","Benign neoplasm of eye and adnexa","benign neoplasm - orbit","EYE008","Benign neoplasm of unspecified site of left orbit             "
"124","D31.90","Benign neoplasm of eye and adnexa","benign neoplasm - unspec","EYE008","Benign neoplasm of unspecified part of unspecified eye             "
"125","D31.91","Benign neoplasm of eye and adnexa","benign neoplasm - unspec","EYE008","Benign neoplasm of unspecified part of right eye             "
"126","D31.92","Benign neoplasm of eye and adnexa","benign neoplasm - unspec","EYE008","Benign neoplasm of unspecified part of left eye             "
"127","E08.311","Diabetic retinopathy","unspec DR w/ DME","EYE005","Diabetes mellitus due to underlying condition with unspecified diabetic retinopathy with macular  edema       "
"128","E08.319","Diabetic retinopathy","unspec DR w/o DME","EYE005","Diabetes mellitus due to underlying condition with unspecified diabetic retinopathy without macular  edema       "
"129","E08.3211","Diabetic retinopathy","NPDR w/ DME","EYE005","Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy with  macular edema, right eye    "
"130","E08.3212","Diabetic retinopathy","NPDR w/ DME","EYE005","Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy with  macular edema, left eye    "
"131","E08.3213","Diabetic retinopathy","NPDR w/ DME","EYE005","Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy with  macular edema, bilateral     "
"132","E08.3219","Diabetic retinopathy","NPDR w/ DME","EYE005","Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy with  macular edema, unspecified eye    "
"133","E08.3291","Diabetic retinopathy","NPDR w/o DME","EYE005","Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy without  macular edema, right eye    "
"134","E08.3292","Diabetic retinopathy","NPDR w/o DME","EYE005","Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy without  macular edema, left eye    "
"135","E08.3293","Diabetic retinopathy","NPDR w/o DME","EYE005","Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy without  macular edema, bilateral     "
"136","E08.3299","Diabetic retinopathy","NPDR w/o DME","EYE005","Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy without  macular edema, unspecified eye    "
"137","E08.3311","Diabetic retinopathy","NPDR w/ DME","EYE005","Diabetes mellitus due to underlying condition with moderate nonproliferative diabetic retinopathy with  macular edema, right eye    "
"138","E08.3312","Diabetic retinopathy","NPDR w/ DME","EYE005","Diabetes mellitus due to underlying condition with moderate nonproliferative diabetic retinopathy with  macular edema, left eye    "
"139","E08.3313","Diabetic retinopathy","NPDR w/ DME","EYE005","Diabetes mellitus due to underlying condition with moderate nonproliferative diabetic retinopathy with  macular edema, bilateral     "
"140","E08.3319","Diabetic retinopathy","NPDR w/ DME","EYE005","Diabetes mellitus due to underlying condition with moderate nonproliferative diabetic retinopathy with  macular edema, unspecified eye    "
"141","E08.3391","Diabetic retinopathy","NPDR w/o DME","EYE005","Diabetes mellitus due to underlying condition with moderate nonproliferative diabetic retinopathy without  macular edema, right eye    "
"142","E08.3392","Diabetic retinopathy","NPDR w/o DME","EYE005","Diabetes mellitus due to underlying condition with moderate nonproliferative diabetic retinopathy without  macular edema, left eye    "
"143","E08.3393","Diabetic retinopathy","NPDR w/o DME","EYE005","Diabetes mellitus due to underlying condition with moderate nonproliferative diabetic retinopathy without  macular edema, bilateral     "
"144","E08.3399","Diabetic retinopathy","NPDR w/o DME","EYE005","Diabetes mellitus due to underlying condition with moderate nonproliferative diabetic retinopathy without  macular edema, unspecified eye    "
"145","E08.3411","Diabetic retinopathy","NPDR w/ DME","EYE005","Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy with  macular edema, right eye    "
"146","E08.3412","Diabetic retinopathy","NPDR w/ DME","EYE005","Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy with  macular edema, left eye    "
"147","E08.3413","Diabetic retinopathy","NPDR w/ DME","EYE005","Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy with  macular edema, bilateral     "
"148","E08.3419","Diabetic retinopathy","NPDR w/ DME","EYE005","Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy with  macular edema, unspecified eye    "
"149","E08.3491","Diabetic retinopathy","NPDR w/o DME","EYE005","Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy without  macular edema, right eye    "
"150","E08.3492","Diabetic retinopathy","NPDR w/o DME","EYE005","Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy without  macular edema, left eye    "
"151","E08.3493","Diabetic retinopathy","NPDR w/o DME","EYE005","Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy without  macular edema, bilateral     "
"152","E08.3499","Diabetic retinopathy","NPDR w/o DME","EYE005","Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy without  macular edema, unspecified eye    "
"153","E08.3511","Diabetic retinopathy","PDR w/ DME","EYE005","Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with macular  edema, right eye     "
"154","E08.3512","Diabetic retinopathy","PDR w/ DME","EYE005","Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with macular  edema, left eye     "
"155","E08.3513","Diabetic retinopathy","PDR w/ DME","EYE005","Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with macular  edema, bilateral      "
"156","E08.3519","Diabetic retinopathy","PDR w/ DME","EYE005","Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with macular  edema, unspecified eye     "
"157","E08.3521","Diabetic retinopathy","PDR w/ DME","EYE005","Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction  retinal detachment involving the macula, right  eye"
"158","E08.3522","Diabetic retinopathy","PDR w/ DME","EYE005","Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction  retinal detachment involving the macula, left  eye"
"159","E08.3523","Diabetic retinopathy","PDR w/ DME","EYE005","Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction  retinal detachment involving the macula, bilateral  "
"160","E08.3529","Diabetic retinopathy","PDR w/ DME","EYE005","Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction  retinal detachment involving the macula, unspecified  eye"
"161","E08.3531","Diabetic retinopathy","PDR w/ DME","EYE005","Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction  retinal detachment not involving the macula,  right"
"162","E08.3532","Diabetic retinopathy","PDR w/ DME","EYE005","Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction  retinal detachment not involving the macula,  left"
"163","E08.3533","Diabetic retinopathy","PDR w/ DME","EYE005","Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction  retinal detachment not involving the macula,  bilateral"
"164","E08.3539","Diabetic retinopathy","PDR w/ DME","EYE005","Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction  retinal detachment not involving the macula,  unspecified"
"165","E08.3541","Diabetic retinopathy","PDR w/ DME","EYE005","Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with combined  traction retinal detachment and rhegmatogenous retinal  detachment,"
"166","E08.3542","Diabetic retinopathy","PDR w/ DME","EYE005","Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with combined  traction retinal detachment and rhegmatogenous retinal  detachment,"
"167","E08.3543","Diabetic retinopathy","PDR w/ DME","EYE005","Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with combined  traction retinal detachment and rhegmatogenous retinal  detachment,"
"168","E08.3549","Diabetic retinopathy","PDR w/ DME","EYE005","Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with combined  traction retinal detachment and rhegmatogenous retinal  detachment,"
"169","E08.3551","Diabetic retinopathy","PDR, stable","EYE005","Diabetes mellitus due to underlying condition with stable proliferative diabetic retinopathy, right  eye       "
"170","E08.3552","Diabetic retinopathy","PDR, stable","EYE005","Diabetes mellitus due to underlying condition with stable proliferative diabetic retinopathy, left  eye       "
"171","E08.3553","Diabetic retinopathy","PDR, stable","EYE005","Diabetes mellitus due to underlying condition with stable proliferative diabetic retinopathy, bilateral         "
"172","E08.3559","Diabetic retinopathy","PDR, stable","EYE005","Diabetes mellitus due to underlying condition with stable proliferative diabetic retinopathy, unspecified  eye       "
"173","E08.3591","Diabetic retinopathy","PDR w/o DME","EYE005","Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy without macular  edema, right eye     "
"174","E08.3592","Diabetic retinopathy","PDR w/o DME","EYE005","Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy without macular  edema, left eye     "
"175","E08.3593","Diabetic retinopathy","PDR w/o DME","EYE005","Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy without macular  edema, bilateral      "
"176","E08.3599","Diabetic retinopathy","PDR w/o DME","EYE005","Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy without macular  edema, unspecified eye     "
"177","E08.36","Diabetic retinopathy","diabetic cataract","EYE002","Diabetes mellitus due to underlying condition with diabetic cataract            "
"178","E08.37X1","Diabetic retinopathy","DME resolved after tx","EYE005","Diabetes mellitus due to underlying condition with diabetic macular edema, resolved following  treatment, right eye     "
"179","E08.37X2","Diabetic retinopathy","DME resolved after tx","EYE005","Diabetes mellitus due to underlying condition with diabetic macular edema, resolved following  treatment, left eye     "
"180","E08.37X3","Diabetic retinopathy","DME resolved after tx","EYE005","Diabetes mellitus due to underlying condition with diabetic macular edema, resolved following  treatment, bilateral      "
"181","E08.37X9","Diabetic retinopathy","DME resolved after tx","EYE005","Diabetes mellitus due to underlying condition with diabetic macular edema, resolved following  treatment, unspecified eye     "
"182","E08.39","Diabetic retinopathy","other diabetic ophthalmic compl","EYE005","Diabetes mellitus due to underlying condition with other diabetic ophthalmic complication          "
"183","E09.311","Diabetic retinopathy","unspec DR w/ DME","EYE005","Drug or chemical induced diabetes mellitus with unspecified diabetic retinopathy with macular  edema       "
"184","E09.319","Diabetic retinopathy","unspec DR w/o DME","EYE005","Drug or chemical induced diabetes mellitus with unspecified diabetic retinopathy without macular  edema       "
"185","E09.3211","Diabetic retinopathy","NPDR w/ DME","EYE005","Drug or chemical induced diabetes mellitus with mild nonproliferative diabetic retinopathy with  macular edema, right eye    "
"186","E09.3212","Diabetic retinopathy","NPDR w/ DME","EYE005","Drug or chemical induced diabetes mellitus with mild nonproliferative diabetic retinopathy with  macular edema, left eye    "
"187","E09.3213","Diabetic retinopathy","NPDR w/ DME","EYE005","Drug or chemical induced diabetes mellitus with mild nonproliferative diabetic retinopathy with  macular edema, bilateral     "
"188","E09.3219","Diabetic retinopathy","NPDR w/ DME","EYE005","Drug or chemical induced diabetes mellitus with mild nonproliferative diabetic retinopathy with  macular edema, unspecified eye    "
"189","E09.3291","Diabetic retinopathy","NPDR w/o DME","EYE005","Drug or chemical induced diabetes mellitus with mild nonproliferative diabetic retinopathy without  macular edema, right eye    "
"190","E09.3292","Diabetic retinopathy","NPDR w/o DME","EYE005","Drug or chemical induced diabetes mellitus with mild nonproliferative diabetic retinopathy without  macular edema, left eye    "
"191","E09.3293","Diabetic retinopathy","NPDR w/o DME","EYE005","Drug or chemical induced diabetes mellitus with mild nonproliferative diabetic retinopathy without  macular edema, bilateral     "
"192","E09.3299","Diabetic retinopathy","NPDR w/o DME","EYE005","Drug or chemical induced diabetes mellitus with mild nonproliferative diabetic retinopathy without  macular edema, unspecified eye    "
"193","E09.3311","Diabetic retinopathy","NPDR w/ DME","EYE005","Drug or chemical induced diabetes mellitus with moderate nonproliferative diabetic retinopathy with  macular edema, right eye    "
"194","E09.3312","Diabetic retinopathy","NPDR w/ DME","EYE005","Drug or chemical induced diabetes mellitus with moderate nonproliferative diabetic retinopathy with  macular edema, left eye    "
"195","E09.3313","Diabetic retinopathy","NPDR w/ DME","EYE005","Drug or chemical induced diabetes mellitus with moderate nonproliferative diabetic retinopathy with  macular edema, bilateral     "
"196","E09.3319","Diabetic retinopathy","NPDR w/ DME","EYE005","Drug or chemical induced diabetes mellitus with moderate nonproliferative diabetic retinopathy with  macular edema, unspecified eye    "
"197","E09.3391","Diabetic retinopathy","NPDR w/o DME","EYE005","Drug or chemical induced diabetes mellitus with moderate nonproliferative diabetic retinopathy without  macular edema, right eye    "
"198","E09.3392","Diabetic retinopathy","NPDR w/o DME","EYE005","Drug or chemical induced diabetes mellitus with moderate nonproliferative diabetic retinopathy without  macular edema, left eye    "
"199","E09.3393","Diabetic retinopathy","NPDR w/o DME","EYE005","Drug or chemical induced diabetes mellitus with moderate nonproliferative diabetic retinopathy without  macular edema, bilateral     "
"200","E09.3399","Diabetic retinopathy","NPDR w/o DME","EYE005","Drug or chemical induced diabetes mellitus with moderate nonproliferative diabetic retinopathy without  macular edema, unspecified eye    "
"201","E09.3411","Diabetic retinopathy","NPDR w/ DME","EYE005","Drug or chemical induced diabetes mellitus with severe nonproliferative diabetic retinopathy with  macular edema, right eye    "
"202","E09.3412","Diabetic retinopathy","NPDR w/ DME","EYE005","Drug or chemical induced diabetes mellitus with severe nonproliferative diabetic retinopathy with  macular edema, left eye    "
"203","E09.3413","Diabetic retinopathy","NPDR w/ DME","EYE005","Drug or chemical induced diabetes mellitus with severe nonproliferative diabetic retinopathy with  macular edema, bilateral     "
"204","E09.3419","Diabetic retinopathy","NPDR w/ DME","EYE005","Drug or chemical induced diabetes mellitus with severe nonproliferative diabetic retinopathy with  macular edema, unspecified eye    "
"205","E09.3491","Diabetic retinopathy","NPDR w/o DME","EYE005","Drug or chemical induced diabetes mellitus with severe nonproliferative diabetic retinopathy without  macular edema, right eye    "
"206","E09.3492","Diabetic retinopathy","NPDR w/o DME","EYE005","Drug or chemical induced diabetes mellitus with severe nonproliferative diabetic retinopathy without  macular edema, left eye    "
